time,mote_id,node,message_type,message,tx,rx,size
1.298205,,15,energy,,0.0,0.002208,
1.298205,,5,energy,,0.0,0.002208,
1.298205,,9,energy,,0.0,0.002261,
1.298205,,14,energy,,0.0,0.002207,
1.298242,,3,energy,,0.039731,0.01545,
1.299996,,11,energy,,0.05256,0.0,
1.315731,10,,mac_reception,,,,
1.338745,14,,rpl,,,,
1.352447,2,,rpl,,,,
1.356159,5,,rpl,,,,
1.365275,1,,mac_reception,,,,
1.365458,6,,mac_reception,,,,
1.37544,17,,mac_reception,,,,
1.377879,12,,rpl,,,,
1.382401,12,,mac_reception,,,,
1.385412,4,,mac_reception,,,,
1.392049,21,,mac_reception,,,,
1.392828,20,,rpl,,,,
1.397317,20,,mac_reception,,,,
1.39874,7,,mac_reception,,,,
1.402265,,1,energy,,0.0,0.134638,
1.402265,,3,energy,,0.044145,0.048553,
1.402265,,5,energy,,0.0,0.002208,
1.402265,,17,energy,,0.0,0.006622,
1.402265,,10,energy,,0.0,0.00222,
1.402265,,20,energy,,0.0,0.005811,
1.402265,,16,energy,,0.0,0.00229,
1.402265,,15,energy,,0.0,0.002208,
1.402265,,9,energy,,0.0,0.002261,
1.402265,,19,energy,,0.0,0.00223,
1.402265,,12,energy,,0.0,0.006621,
1.402265,,2,energy,,0.0,0.002273,
1.402265,,18,energy,,0.0,0.0,
1.402265,,13,energy,,0.0,0.002249,
1.402265,,8,energy,,0.0,0.00224,
1.402265,,6,energy,,0.0,0.004485,
1.402265,,11,energy,,0.059597,0.0,
1.402265,,21,energy,,0.0,0.002206,
1.402265,,7,energy,,0.0,0.007212,
1.402265,,4,energy,,0.0,0.002206,
1.403032,,14,energy,,0.031663,0.002207,
1.412026,8,,mac_reception,,,,
1.416807,3,,mac_reception,,,,
1.42195,11,,mac_reception,,,,
1.441913,10,,mac_reception,,,,
1.451905,16,,mac_reception,,,,
1.458591,19,,mac_reception,,,,
1.468535,18,,mac_reception,,,,
1.478506,2,,mac_reception,,,,
1.481889,5,,mac_reception,,,,
1.484305,,18,energy,,0.0,0.004414,
1.484305,,3,energy,,0.044145,0.056017,
1.484305,,21,energy,,0.0,0.002206,
1.484305,,19,energy,,0.0,0.004437,
1.484305,,11,energy,,0.059597,0.002207,
1.484305,,9,energy,,0.0,0.002261,
1.484305,,5,energy,,0.0,0.004415,
1.484305,,7,energy,,0.0,0.007212,
1.484305,,1,energy,,0.0,0.189813,
1.484305,,15,energy,,0.0,0.006622,
1.484305,,8,energy,,0.0,0.004449,
1.484305,,20,energy,,0.0,0.005811,
1.484305,,2,energy,,0.0,0.004479,
1.484305,,10,energy,,0.0,0.004426,
1.484305,,16,energy,,0.0,0.006704,
1.484383,,14,energy,,0.086071,0.002207,
1.48475,,6,energy,,0.0,0.006691,
1.485175,15,,mac_reception,,,,
1.485607,13,,rpl,,,,
1.486355,,13,energy,,0.0,0.006662,
1.490076,13,,mac_reception,,,,
1.492416,,17,energy,,0.0,0.006622,
1.49648,,12,energy,,0.0,0.006621,
1.501108,,4,energy,,0.0,0.002206,
1.518625,1,,mac_reception,,,,
1.525354,9,,mac_reception,,,,
1.525371,7,,mac_reception,,,,
1.538691,8,,mac_reception,,,,
1.545358,3,,mac_reception,,,,
1.548653,11,,mac_reception,,,,
1.565322,10,,mac_reception,,,,
1.575294,16,,mac_reception,,,,
1.585246,19,,mac_reception,,,,
1.588592,14,,mac_reception,,,,
1.591905,18,,mac_reception,,,,
1.604328,,9,energy,,0.0,0.006675,
1.604328,,19,energy,,0.0,0.006645,
1.604328,,16,energy,,0.0,0.008912,
1.604328,,20,energy,,0.0,0.005811,
1.604328,,14,energy,,0.086071,0.004413,
1.604328,,11,energy,,0.059597,0.006622,
1.604328,,6,energy,,0.0,0.006691,
1.604328,,7,energy,,0.0,0.011626,
1.604328,,18,energy,,0.0,0.006621,
1.604328,,4,energy,,0.0,0.002206,
1.604328,,17,energy,,0.0,0.006622,
1.604328,,3,energy,,0.044145,0.058225,
1.604328,,8,energy,,0.0,0.006655,
1.604328,,1,energy,,0.0,0.251611,
1.604328,,12,energy,,0.0,0.006621,
1.604328,,21,energy,,0.0,0.002206,
1.604328,,10,energy,,0.0,0.006633,
1.604328,,2,energy,,0.0,0.008893,
1.604791,,15,energy,,0.0,0.008829,
1.604813,,5,energy,,0.0,0.006622,
1.604878,,13,energy,,0.061798,0.006662,
1.605194,2,,mac_reception,,,,
1.608539,15,,mac_reception,,,,
1.608562,5,,mac_reception,,,,
1.614017,6,,rpl,,,,
1.618539,6,,mac_reception,,,,
1.625134,17,,mac_reception,,,,
1.628529,12,,mac_reception,,,,
1.635152,4,,mac_reception,,,,
1.641796,21,,mac_reception,,,,
1.645107,20,,mac_reception,,,,
1.690586,1,,mac_reception,,,,
