time,energy,estimation,difference
0.0,0.0,0.0,0.0
0.0,1.63537880062e-06,0.0,1.0
0.0,1.63537880062e-06,1.6353788006228221e-06,0.0
0.0,1.63537880062e-06,1.6353788006228221e-06,0.0
0.0,1.63537880062e-06,1.6353788006228221e-06,0.0
0.0,1.63537880062e-06,1.6353788006228221e-06,0.0
0.438395,1.84569010682e-06,1.6353788006228221e-06,0.11394724684504311
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
0.438395,1.84569010682e-06,1.8456901068246212e-06,0.0
2.117047,2.64763545442e-06,1.8456901068246212e-06,0.30289115000990036
2.117047,2.64763545442e-06,2.6476354544212624e-06,0.0
2.117047,2.64763545442e-06,2.6476354544212624e-06,0.0
2.909423,3.02434167794e-06,2.6476354544212624e-06,0.12455809020047232
6.458273,4.69724319949e-06,3.0243416779390414e-06,0.35614539220190106
6.558722,4.74425782855e-06,4.6972431994886332e-06,0.0099097963804868749
8.049135,5.43968691753e-06,4.7442578285460554e-06,0.12784358723668013
8.789625,5.78370979539e-06,5.4396869175271675e-06,0.059481351940354664
8.852269,5.81276827725e-06,5.7837097953874873e-06,0.0049990779736806736
8.852269,5.81276827725e-06,5.8127682772483895e-06,0.0
8.852269,5.81276827725e-06,5.8127682772483895e-06,0.0
10.102572,6.3912751453e-06,5.8127682772483895e-06,0.090515093607999683
10.102572,6.3912751453e-06,6.391275145299671e-06,0.0
10.352793,6.50671628172e-06,6.391275145299671e-06,0.017741842646718492
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.352793,6.50671628172e-06,6.5067162817167305e-06,0.0
10.779663,6.70339926563e-06,6.5067162817167305e-06,0.02934078310471095
10.793899,6.70995302938e-06,6.7033992656339756e-06,0.00097672274586732837
10.804773,6.71495880265e-06,6.7099530293814739e-06,0.00074546596815167499
10.80792,6.71640746404e-06,6.7149588026463873e-06,0.00021568992112443657
10.814942,6.71963984458e-06,6.7164074640425462e-06,0.0004810347891087571
10.821967,6.72287351879e-06,6.7196398445780696e-06,0.0004809958428960293
10.821967,6.72287351879e-06,6.7228735187929248e-06,0.0
10.829027,6.72612321589e-06,6.7228735187929248e-06,0.00048314563805781213
10.829027,6.72612321589e-06,6.7261232158857194e-06,0.0
11.100173,6.85086423798e-06,6.7261232158857194e-06,0.018208070947562004
11.100173,6.85086423798e-06,6.8508642379830297e-06,0.0
11.100173,6.85086423798e-06,6.8508642379830297e-06,0.0
11.100173,6.85086423798e-06,6.8508642379830297e-06,0.0
12.277503,7.39099376765e-06,6.8508642379830297e-06,0.073079418905114019
12.277503,7.39099376765e-06,7.390993767654543e-06,0.0
12.277503,7.39099376765e-06,7.390993767654543e-06,0.0
12.277503,7.39099376765e-06,7.390993767654543e-06,0.0
12.277503,7.39099376765e-06,7.390993767654543e-06,0.0
12.510309,7.49751119606e-06,7.390993767654543e-06,0.014207038257917476
12.521338,7.50255502218e-06,7.4975111960560763e-06,0.00067228112455239839
12.528368,7.50576989873e-06,7.502555022183406e-06,0.00042832069020123307
12.531543,7.50722182389e-06,7.5057698987269204e-06,0.00019340379088830529
13.103816,7.76863429909e-06,7.5072218238866995e-06,0.033649733677021738
13.359215,7.88511551822e-06,7.7686342990850892e-06,0.014772290762661084
14.000835,8.17724274606e-06,7.8851155182173672e-06,0.035724416764071072
14.323652,8.32395046942e-06,8.1772427460585394e-06,0.017624771303295365
14.323652,8.32395046942e-06,8.3239504694220613e-06,0.0
14.323652,8.32395046942e-06,8.3239504694220613e-06,0.0
14.323652,8.32395046942e-06,8.3239504694220613e-06,0.0
14.46614,8.38864842109e-06,8.3239504694220613e-06,0.0077125596903817309
14.506255,8.40685667456e-06,8.3886484210913549e-06,0.0021658812768175178
