depth,mean_energy,std_energy
0,7.5398923322222213e-05,0.0
1,4.4100640481249987e-05,8.1666394062499991e-06
2,4.1190879035185174e-05,6.0596347608743763e-06
3,2.9434266394444444e-05,3.4168827018374866e-06
4,1.4853854238333332e-05,1.3018556178833345e-06
