time,energy,estimation,difference
0.0,0.0,0.0,0.0
0.0,-2.58472825806e-07,0.0,-1.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
0.0,-2.58472825806e-07,-2.5847282580600483e-07,-0.0
2.238086,-7.98030791417e-08,-2.5847282580600483e-07,-2.2388828675027344
2.238086,-7.98030791417e-08,-7.9803079141696263e-08,-0.0
2.238086,-7.98030791417e-08,-7.9803079141696263e-08,-0.0
4.238084,7.95895617758e-08,-7.9803079141696263e-08,2.0026827307644504
6.238086,2.38728596845e-07,7.9589561775791225e-08,0.66661069169011589
6.488086,2.58603154135e-07,2.3872859684454252e-07,0.076853499166265507
8.238086,3.97614589802e-07,2.5860315413527122e-07,0.34961351829720677
8.738086,4.37296697152e-07,3.9761458980238303e-07,0.090744127747086359
9.238086,4.76963080694e-07,4.3729669715213534e-07,0.083164473619464455
9.238086,4.76963080694e-07,4.7696308069396727e-07,0.0
9.238086,4.76963080694e-07,4.7696308069396727e-07,0.0
10.238084,5.56248582941e-07,4.7696308069396727e-07,0.14253609749084098
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.238084,5.56248582941e-07,5.56248582941219e-07,0.0
10.488084,5.7606019621e-07,5.56248582941219e-07,0.034391567754205314
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.488084,5.7606019621e-07,5.7606019620966448e-07,0.0
10.738086,5.95868051212e-07,5.7606019620966448e-07,0.033242015513019182
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.738086,5.95868051212e-07,5.9586805121175826e-07,0.0
10.988087,6.15671912266e-07,5.9586805121175826e-07,0.032166257156792721
11.109137,6.25259497393e-07,6.1567191226591811e-07,0.015333769685964992
11.209048,6.33172108626e-07,6.2525949739290312e-07,0.012496777930006992
11.242097,6.35789339484e-07,6.3317210862587494e-07,0.0041165063569778516
11.242097,6.35789339484e-07,6.3578933948355776e-07,0.0
12.238086,7.14632093322e-07,6.3578933948355776e-07,0.1103263547423208
12.238086,7.14632093322e-07,7.1463209332160439e-07,0.0
12.238086,7.14632093322e-07,7.1463209332160439e-07,0.0
12.238086,7.14632093322e-07,7.1463209332160439e-07,0.0
12.238086,7.14632093322e-07,7.1463209332160439e-07,0.0
12.488084,7.34412271593e-07,7.1463209332160439e-07,0.026933343894279375
12.488084,7.34412271593e-07,7.3441227159258642e-07,0.0
12.488084,7.34412271593e-07,7.3441227159258642e-07,0.0
12.488084,7.34412271593e-07,7.3441227159258642e-07,0.0
13.248661,7.94566172484e-07,7.3441227159258642e-07,0.075706596850799945
13.358685,8.03264965754e-07,7.9456617248412527e-07,0.010829294991029838
13.988086,8.53012610803e-07,8.0326496575423738e-07,0.058319940899964777
14.238086,8.72765686953e-07,8.5301261080320495e-07,0.022632736878542212
14.238086,8.72765686953e-07,8.7276568695262383e-07,0.0
14.238086,8.72765686953e-07,8.7276568695262383e-07,0.0
14.238086,8.72765686953e-07,8.7276568695262383e-07,0.0
14.238086,8.72765686953e-07,8.7276568695262383e-07,0.0
14.488087,8.92514955893e-07,8.7276568695262383e-07,0.022127661625714227
14.488087,8.92514955893e-07,8.9251495589250238e-07,0.0
14.488087,8.92514955893e-07,8.9251495589250238e-07,0.0
14.488087,8.92514955893e-07,8.9251495589250238e-07,0.0
14.488087,8.92514955893e-07,8.9251495589250238e-07,0.0
14.488087,8.92514955893e-07,8.9251495589250238e-07,0.0
15.238084,9.51738992023e-07,8.9251495589250238e-07,0.062227182690361676
16.238084,1.03065040612e-06,9.517389920226356e-07,0.076564675690070985
16.238084,1.03065040612e-06,1.030650406116809e-06,0.0
16.238084,1.03065040612e-06,1.030650406116809e-06,0.0
16.238084,1.03065040612e-06,1.030650406116809e-06,0.0
