bin_start,tx,tx_estimated,tx_outcast,rx,rx_estimated,rx_outcast
0,0.263438,0.260687,,0.221057,0.22073600000000002,
25,0.11297099999999999,0.14068900000000004,,0.05099500000000001,0.046916999999999986,
50,0.13108399999999998,0.11999620000000036,,0.06664500000000001,0.068787000000000389,
75,0.025778999999999996,0.070126200000000055,,0.011317999999999995,0.0084330000000001262,
100,0.04922100000000007,0.0048738000000005319,,0.06373799999999996,0.066264000000000572,
125,0.028528999999999916,0.039614800000000089,,0.008962999999999999,0.0094180000000002526,
150,0.03320000000000001,0.022115200000000272,,0.007366000000000039,0.0088700000000003967,
175,0.028529000000000027,0.050702600000000292,,0.006727999999999956,0.0075570000000001929,
