bin_start,tx,tx_estimated,tx_outcast,rx,rx_estimated,rx_outcast
0,0.289919,0.28716900000000001,,0.209054,0.20841399999999999,
25,0.11105500000000001,0.13322860000000003,,0.044531000000000015,0.045682000000000056,
50,0.12723999999999996,0.1078164000000004,,0.07733099999999998,0.07137400000000034,
75,0.031280000000000086,0.057691962517507217,,0.012549000000000032,0.01537216041958472,
100,0.035784999999999956,0.023252237482493214,,0.04295199999999999,0.045235839580415903,
125,0.028532000000000002,0.050704600000000127,,0.00961099999999998,0.0075610000000001969,
150,0.03511900000000001,0.011027400000000291,,0.012093999999999994,0.01053857953117756,
175,0.041954999999999965,0.054963800000000257,,0.013180000000000025,0.01444942046882319,
