message,departure_time,arrival_time
         1,22.511366,24.171435
         2,24.511361,26.276113
         3,26.511371,28.181819
         4,28.693666,32.079966
         5,30.511368,36.559661
         6,32.511365,36.752651
         7,34.511359,
         8,36.511387,38.154144
         9,38.511383,40.873689
        10,40.511403,45.583019
        11,42.5114,46.498055
        12,44.511391,47.302602
        13,46.51138,48.28226
        14,48.511387,50.741628
        15,50.5114,52.511339
        16,52.511379,54.230839
        17,54.511403,56.379814
        18,56.511381,58.649545
        19,58.511393,60.693862
        20,60.511403,62.153195
        21,62.511394,66.912789
        22,64.511407,70.257292
        23,66.51141,
        24,68.511379,
        25,70.569069,
        26,72.511399,84.700762
        27,74.511382,
        28,76.511387,86.909302
        29,78.51139,88.088236
        30,80.511403,89.847988
        31,82.511392,91.155278
        32,84.511396,91.722812
        33,86.511399,93.567813
        34,88.511396,95.236612
        35,90.511385,96.758506
        36,92.511391,97.737919
        37,94.511403,98.292645
        38,96.511406,110.096562
        39,98.511401,
        40,100.511398,
        41,102.511404,
        42,104.511386,115.988714
        43,106.587055,
        44,108.511396,116.505506
        45,110.511388,117.708692
        46,112.511396,118.765065
        47,114.511395,
        48,116.511387,
        49,118.511405,
        50,120.511397,130.585497
        51,122.575897,134.007986
        52,124.51141,
        53,126.511391,134.795147
        54,128.511389,
        55,130.511381,137.542155
        56,132.511392,139.312677
        57,134.51141,140.781398
        58,136.511408,142.575683
        59,138.51141,143.960378
        60,140.511379,145.345412
        61,142.511397,146.76473
        62,144.511387,147.669349
        63,146.511402,
        64,148.511382,
        65,150.569072,
        66,152.511408,156.277856
        67,154.511382,157.632056
        68,156.511394,159.186468
        69,158.511398,166.926313
        70,160.511379,
        71,162.511384,
        72,164.511383,
        73,166.511395,171.364765
        74,168.511387,172.044234
        75,170.511379,175.804765
        76,172.511411,
        77,174.569075,
        78,176.511393,
        79,178.511383,183.00664
        80,180.569075,183.49653
        81,182.511386,186.226223
        82,184.511381,188.435555
        83,186.511382,192.405078
        84,188.511411,197.604315
        85,190.511393,198.094105
        86,192.511403,199.3238
        87,194.511385,
        88,196.511386,
        89,198.511385,
