message,departure_time,arrival_time
         1,28.457947,29.046184
         2,30.457961,32.130172
         3,32.457951,36.609907
         4,34.457949,36.800002
         5,36.457962,37.049451
         6,38.457958,39.820448
         7,40.457958,
         8,42.457947,45.682832
         9,44.578841,46.812692
        10,46.457979,47.352819
        11,48.457983,49.147092
        12,50.457976,51.156662
        13,52.457968,53.20094
        14,54.457983,55.160291
        15,56.457967,57.494682
        16,58.457978,59.214166
        17,60.457992,61.308709
        18,62.457968,63.069494
        19,64.476629,67.842234
        20,66.457967,70.716387
        21,68.457981,71.111989
        22,70.457988,71.254696
        23,72.457993,73.582424
        24,74.457985,
        25,76.466855,78.960155
        26,78.457983,79.864803
        27,80.457986,
        28,82.457991,85.804664
        29,84.457969,87.523623
        30,86.457971,90.317888
        31,88.457982,91.203379
        32,90.457985,93.328377
        33,92.457974,94.496783
        34,94.524679,95.528272
        35,96.530538,97.785176
        36,98.457984,99.698541
        37,100.463633,
        38,102.457993,110.826216
        39,104.532431,
        40,106.457993,114.346424
        41,108.457999,114.785987
        42,110.529222,
        43,112.457998,
        44,114.457994,117.245356
        45,116.457996,118.150216
        46,118.531874,121.609659
        47,120.57846,125.278925
        48,122.457975,130.488259
        49,124.53124,133.957783
        50,126.457986,
        51,128.529705,
        52,130.463636,
        53,132.457985,
        54,134.457998,137.639311
        55,136.457984,140.731158
        56,138.578323,142.135767
        57,140.457974,143.86571
        58,142.457996,144.680378
        59,144.457994,146.863257
        60,146.457982,148.60921
        61,148.457984,149.93698
        62,150.457971,151.433431
        63,152.457973,154.632612
        64,154.457983,155.297685
        65,156.457981,158.696639
        66,158.457988,
        67,160.457988,166.973623
        68,162.457996,167.615379
        69,164.457984,
        70,166.45797,169.470039
        71,168.530264,170.699731
        72,170.532481,
        73,172.457974,175.75361
        74,174.45799,177.158508
        75,176.463618,178.212961
        76,178.457989,179.617877
        77,180.457989,181.037122
        78,182.457988,
        79,184.457988,186.84105
        80,186.458058,
        81,188.457986,193.144937
        82,190.457987,
        83,192.577727,198.45897
        84,194.457986,199.374005
        85,196.578318,
        86,198.457986,
