message,departure_time,arrival_time
         1,57.331659,57.63372
         2,59.331635,59.632606
         3,61.331647,61.83563
         4,63.331655,64.578121
         5,65.331641,65.798729
         6,67.33165,67.978261
         7,69.331637,
         8,71.331632,73.912428
         9,73.331638,74.009868
        10,75.331668,75.881916
        11,77.331651,77.726432
        12,79.331659,79.81083
        13,81.331673,81.790484
        14,83.331659,84.555317
        15,85.331655,85.649602
        16,87.331667,87.734698
        17,89.331665,90.183293
        18,91.33168,100.797424
        19,93.331667,100.927144
        20,95.331666,101.069752
        21,97.331677,
        22,99.331677,
        23,101.331657,
        24,103.33166,
        25,105.331649,106.874202
        26,107.331673,108.898747
        27,109.331657,109.930514
        28,111.331672,112.032673
        29,113.331671,114.12462
        30,115.331671,115.618686
        31,117.331649,117.688662
        32,119.331665,
        33,121.331677,
        34,123.33165,124.131499
        35,125.331659,125.73556
        36,127.331677,128.205079
        37,129.331661,129.799623
        38,131.331679,131.647641
        39,133.331649,135.37664
        40,135.331653,136.145558
        41,137.331657,137.732469
        42,139.331661,139.712436
        43,141.331649,141.671773
        44,143.331677,144.016351
        45,145.331673,145.748408
        46,147.331677,148.080421
        47,149.331651,149.799826
        48,151.331659,
        49,153.331672,
        50,155.331657,
        51,157.331658,160.468615
        52,159.411656,
        53,161.331662,161.691361
        54,163.331654,164.150733
        55,165.331653,166.730802
        56,167.331649,168.327543
        57,169.331672,169.967654
        58,171.33168,171.802065
        59,173.331652,174.806525
        60,175.33912,175.761535
        61,177.331652,177.639967
        62,179.331652,179.568655
        63,181.331673,181.909757
        64,183.331651,184.157215
        65,185.331671,185.751661
        66,187.331651,188.231009
        67,189.331653,190.335713
        68,191.331671,191.919473
        69,193.331665,194.098186
        70,195.331673,
        71,197.331661,199.053173
        72,199.331678,199.834859
