message,departure_time,arrival_time
         1,53.306207,53.428929
         2,55.306217,55.605761
         3,57.306205,57.827148
         4,59.306234,59.59285
         5,61.30622,61.748785
         6,63.306214,
         7,65.3134,65.504947
         8,67.306231,67.431624
         9,69.306212,69.401155
        10,71.306239,71.485974
        11,73.306242,73.4555
        12,75.306224,75.418103
        13,77.331825,77.513497
        14,79.30624,79.585107
        15,81.306248,81.451633
        16,83.306252,83.626879
        17,85.306232,85.609863
        18,87.30624,87.694871
        19,89.306232,90.853341
        20,91.306225,91.48212
        21,93.306257,93.552505
        22,95.313421,95.396945
        23,97.306225,97.481415
        24,99.306249,100.428433
        25,101.306227,102.045975
        26,103.306232,103.406252
        27,105.311744,106.629714
        28,107.306483,107.8584
        29,109.306232,109.827919
        30,111.319069,111.95358
        31,113.306238,113.60098
        32,115.30625,115.578932
        33,117.306232,117.470277
        34,119.306233,119.57907
        35,121.306232,121.672188
        36,123.306246,124.959662
        37,125.306234,125.500426
        38,127.306244,127.459822
        39,129.30625,129.429384
        40,131.306228,131.773863
        41,133.306227,134.003603
        42,135.306251,136.105815
        43,137.350335,138.013972
        44,139.306255,139.907054
        45,141.404542,141.564855
        46,143.332868,143.681812
        47,145.306245,145.604372
        48,147.306229,147.448957
        49,149.306243,151.901907
        50,151.306242,
        51,153.306241,153.725545
        52,155.306252,155.757157
        53,157.306246,157.521804
        54,159.306226,159.666188
        55,161.306241,
        56,163.306256,165.076359
        57,165.306251,165.816719
        58,167.306233,167.969634
        59,169.306237,
        60,171.306225,171.445387
        61,173.306236,173.414889
        62,175.306316,175.444789
        63,177.306229,177.493093
        64,179.356408,179.987427
        65,181.306231,181.428134
        66,183.306257,183.387545
        67,185.413972,185.831074
        68,187.328141,187.431186
        69,189.306256,190.15079
        70,191.306235,191.558611
        71,193.30624,193.7169
        72,195.306244,195.437633
        73,197.306226,197.428751
        74,199.310843,199.741606
