message,departure_time,arrival_time
         1,48.309927,48.49497
         2,50.309932,50.515182
         3,52.309925,52.582919
         4,54.309916,54.548893
         5,56.309916,56.583347
         6,58.309931,58.488021
         7,60.309919,60.460657
         8,62.30991,62.612708
         9,64.309919,64.786499
        10,66.379647,
        11,68.309932,68.835143
        12,70.336357,70.578137
        13,72.30993,72.796879
        14,74.309932,74.640041
        15,76.309939,76.496288
        16,78.309931,78.505823
        17,80.309941,80.800205
        18,82.309948,82.779897
        19,84.309945,84.634313
        20,86.309953,86.479629
        21,88.309954,88.563965
        22,90.309939,
        23,92.309936,
        24,94.309926,100.97396
        25,96.309945,101.116527
        26,98.309936,
        27,100.309926,
        28,102.309926,102.788273
        29,104.309931,105.267561
        30,106.309948,106.47841
        31,108.309941,108.992858
        32,110.309928,111.291889
        33,112.309926,112.884314
        34,114.309955,114.503347
        35,116.309951,116.698379
        36,118.309928,119.024623
        37,120.309924,120.592953
        38,122.309938,123.172465
        39,124.309955,124.505451
        40,126.309948,126.474929
        41,128.309926,128.569446
        42,130.309944,130.413929
        43,132.30993,132.386697
        44,134.309947,135.417397
        45,136.309926,137.355047
        46,138.309935,138.472118
        47,140.433163,140.941659
        48,142.309949,142.901068
        49,144.309928,
        50,146.309935,146.475207
        51,148.331478,148.684583
        52,150.309926,150.414234
        53,152.309933,153.14399
        54,154.309925,154.383778
        55,156.309931,157.863514
        56,158.309937,158.991529
        57,160.309925,160.519168
        58,162.309924,162.60586
        59,164.309946,164.909451
        60,166.313083,166.825839
        61,168.362969,168.78866
        62,170.333643,170.686783
        63,172.309932,172.781363
        64,174.30993,174.925837
        65,176.309953,
        66,178.309938,
        67,180.309925,180.547887
        68,182.309925,182.430734
        69,184.309953,184.76105
        70,186.309956,186.502393
        71,188.30995,188.470387
        72,190.346987,190.700066
        73,192.309924,193.5548
        74,194.309936,194.622675
        75,196.309938,197.007331
        76,198.310003,198.606049
