message,departure_time,arrival_time
         1,12.43926,12.951669
         2,14.44222,16.271776
         3,16.439247,16.886558
         4,18.504179,19.15327
         5,20.439265,20.858338
         6,22.439245,23.088013
         7,24.439273,24.710002
         8,26.439242,27.078931
         9,28.439247,
        10,30.439282,
        11,32.439266,
        12,34.439281,
        13,36.439269,39.457228
        14,38.439268,39.49674
        15,40.439282,40.722015
        16,42.439263,42.691497
        17,44.439279,44.911006
        18,46.439274,46.974031
        19,48.439287,48.860219
        20,50.439275,50.829794
        21,52.439271,53.138835
        22,54.439265,55.089302
        23,56.43929,57.143928
        24,58.439274,58.728203
        25,60.439285,61.530371
        26,62.439274,62.81583
        27,64.439287,65.46559
        28,66.439262,67.625449
        29,68.439273,68.964102
        30,70.439289,71.554797
        31,72.439267,72.943781
        32,74.439264,74.766988
        33,76.439268,76.736589
        34,78.439277,78.945943
        35,80.439261,80.898721
        36,82.439282,82.877473
        37,84.439266,85.089796
        38,86.439292,
        39,88.439287,90.104414
        40,90.439261,90.783935
        41,92.43927,100.880705
        42,94.439282,101.022428
        43,96.439275,
        44,98.439287,
        45,100.439278,101.888677
        46,102.504439,105.071833
        47,104.43929,105.502075
        48,106.439261,107.435596
        49,108.439267,109.075658
        50,110.439264,111.410698
        51,112.439265,112.981887
        52,114.439271,114.859623
        53,116.439283,116.79673
        54,118.439289,119.064103
        55,120.439272,
        56,122.439274,124.036915
        57,124.439282,
        58,126.439261,127.026398
        59,128.43928,128.940044
        60,130.439281,130.779241
        61,132.439286,132.876949
        62,134.439279,136.974928
        63,136.439293,
        64,138.439291,140.991918
        65,140.439273,141.482086
        66,142.439291,142.998621
        67,144.439278,144.870969
        68,146.439261,146.715455
        69,148.439286,148.763817
        70,150.439276,150.779477
        71,152.439283,153.194233
        72,154.43927,155.624064
        73,156.439289,157.91465
        74,158.439266,159.070702
        75,160.439279,161.45128
        76,162.439268,162.933826
        77,164.439281,164.99038
        78,166.439264,168.248192
        79,168.43929,169.227844
        80,170.439289,170.737052
        81,172.439275,172.878861
        82,174.439278,174.965351
        83,176.43927,176.869442
        84,178.439291,
        85,180.439284,180.913123
        86,182.439266,
        87,184.439288,
        88,186.439268,
        89,188.439283,191.832049
        90,190.439265,191.875768
        91,192.439269,193.633759
        92,194.43927,194.903892
        93,196.439283,197.468472
        94,198.43927,199.393437
