time,tx route,rx route,tx route calibration,rx route calibration,ratio legit
0,,,,,False
1,,,,,False
2,0.0,0.0,0.0,0.0,False
3,0.0,0.0,0.0,0.0,False
4,0.0,0.0,0.0,0.0,False
5,0.0,0.0,0.0,0.0,False
6,0.0,0.0,0.0,0.0,False
7,0.0,0.0,0.0,0.0,False
8,0.0,0.0,0.0,0.0,False
9,0.001146236341025354,0.0035149878946731817,0.0002865590852563385,0.0008787469736682954,False
10,0.001526585955330557,0.004615379220953022,0.00038164648883263927,0.0011538448052382554,False
11,0.004497560140651022,0.007527062460804394,0.0011243900351627556,0.0018817656152010985,False
12,0.009111225922649156,0.02058714181251658,0.002277806480662289,0.005146785453129145,False
13,0.010322047138951728,0.02128947097166531,0.002580511784737932,0.005322367742916327,False
14,0.014422437223524731,0.030312619369290646,0.003605609305881183,0.0075781548423226605,False
15,0.013331013379294631,0.02927605092539046,0.003332753344823658,0.007319012731347614,False
16,0.012574667642470653,0.027907591335284383,0.003143666910617663,0.006976897833821096,False
17,0.021856074062071636,0.04624835588790562,0.013828665633109739,0.013873974553294801,False
18,0.02281796279964307,0.04289278570203652,0.022804460178471493,0.015109735830866966,False
19,0.02287715756517472,0.04104009202251399,0.030456701501723738,0.016376502248288727,False
20,0.02836421798990012,0.05300880410938031,0.03921720133445824,0.021142454461075332,False
21,0.02992717129664582,0.052253901863137275,0.05109083215103847,0.026280082256311378,False
22,0.03402152289633055,0.059948562572242514,0.07033319520991035,0.03794278731428048,False
23,0.035965542308872486,0.05822987578814183,0.0861284357992725,0.045325701887351834,False
24,0.03987224773219969,0.06726403523058806,0.10735451069261019,0.05681997661848542,False
25,0.04235108165026744,0.06857508981841623,0.15656973136448976,0.09704233974252674,False
26,0.04299922737067089,0.06517449620169423,0.25339020750413643,0.18434181614903594,True
27,0.04325513399493971,0.06433820342231028,0.32731469788740297,0.2464725063047854,True
28,0.04847303569727449,0.0740736310661631,0.378314841717983,0.283364201406328,True
29,0.052723332956435394,0.07921758695934078,0.39412331718006993,0.28803294173247,True
