bin_start,total,udp,rpl,forwarding
0.0,0.400768,0.047104,0.353664,0.047104
25.0,0.347328,0.178816,0.168512,0.157696
50.0,0.370304,0.267456,0.102848,0.137216
75.0,0.646592,0.588224,0.058368,0.394816
100.0,0.61936,0.61936,,0.39936
125.0,0.68432,0.547424,0.136896,0.313344
150.0,0.449632,0.449632,,0.25872
175.0,0.398208,0.398208,,0.278528
