message,departure_time,arrival_time
         1,47.920293,
         2,49.920291,
         3,51.976907,54.627493
         4,53.920302,55.182438
         5,55.920315,56.563926
         6,57.920298,58.992676
         7,59.920313,62.389619
         8,61.920301,
         9,63.920303,
        10,65.920321,
        11,67.920313,73.548812
        12,69.920332,
        13,71.920329,
        14,73.920342,
        15,75.920324,77.344973
        16,77.920337,81.409794
        17,79.925419,
        18,81.920313,86.288304
        19,83.920323,86.829517
        20,85.920331,88.737542
        21,87.920337,89.277516
        22,89.920332,91.250768
        23,91.920329,93.866151
        24,93.920336,95.267087
        25,95.920334,96.786736
        26,97.920336,99.87438
        27,99.920339,103.208393
        28,101.920327,105.124073
        29,103.920335,107.022019
        30,105.920333,108.626714
        31,107.92033,109.337319
        32,109.920338,
        33,111.920323,113.698757
        34,113.920327,114.582086
        35,115.920323,117.571258
        36,117.920313,119.209961
        37,119.92032,123.744037
        38,121.920321,
        39,123.920333,126.578397
        40,125.924726,126.898925
        41,127.920318,128.903131
        42,129.920341,
        43,131.920321,143.388677
        44,133.920313,143.578477
        45,135.924728,
        46,137.920335,
        47,139.92031,
        48,141.920312,144.849339
        49,143.920326,146.124901
        50,145.920322,147.552005
        51,147.920341,149.624279
        52,149.920332,
        53,151.99475,153.257289
        54,153.920314,156.090353
        55,155.920314,157.244858
        56,157.92032,159.039591
        57,159.920341,
        58,161.994904,163.843342
        59,163.920336,164.948022
        60,165.920332,167.272237
        61,167.920339,173.117646
        62,169.920328,173.605979
        63,171.920339,176.088716
        64,173.920325,176.616118
        65,175.920317,177.636496
        66,177.920334,178.616148
        67,179.920312,
        68,181.920322,
        69,183.92034,188.512011
        70,185.920317,189.029478
        71,187.920335,193.674561
        72,189.920336,
        73,191.92034,197.464899
        74,193.920327,
        75,195.920337,
        76,197.920316,
        77,199.920342,
