message,departure_time,arrival_time
         1,21.34648,22.998686
         2,23.346486,
         3,25.346462,
         4,27.346478,
         5,29.349193,37.613018
         6,31.346471,37.977745
         7,33.346461,38.717674
         8,35.346476,38.819022
         9,37.34647,38.863672
        10,39.346501,40.082465
        11,41.346502,41.931069
        12,43.346488,43.925595
        13,45.346503,45.788956
        14,47.346506,48.036935
        15,49.346506,50.357427
        16,51.346486,52.248566
        17,53.346483,54.587775
        18,55.346481,56.051291
        19,57.367548,
        20,59.34649,
        21,61.346484,66.336325
        22,63.346476,
        23,65.346483,67.996601
        24,67.346506,68.611095
        25,69.346498,69.996007
        26,71.346483,
        27,73.3465,
        28,75.34648,
        29,77.346486,78.496326
        30,79.346508,79.833232
        31,81.346488,82.878188
        32,83.346479,
        33,85.346489,
        34,87.346486,
        35,89.346477,
        36,91.346502,98.516085
        37,93.346493,99.005944
        38,95.346482,100.129832
        39,97.346481,100.213301
        40,99.346482,101.353222
        41,101.346489,104.299684
        42,103.346499,104.753961
        43,105.346489,106.059165
        44,107.346488,
        45,109.346489,
        46,111.346567,116.407414
        47,113.346485,116.457543
        48,115.34649,116.648293
        49,117.346508,122.099276
        50,119.346487,122.243966
        51,121.346499,124.317055
        52,123.3465,126.211944
        53,125.346481,129.941323
        54,127.346488,130.559401
        55,129.346507,
        56,131.346502,134.174545
        57,133.346485,135.050061
        58,135.34649,135.866032
        59,137.346498,137.809583
        60,139.346484,140.24598
        61,141.34649,142.978025
        62,143.346491,144.372262
        63,145.346484,146.392206
        64,147.346487,147.802954
        65,149.34648,
        66,151.346561,153.798653
        67,153.346477,158.75622
        68,155.346483,
        69,157.346486,162.078515
        70,159.346488,
        71,161.34648,163.205104
        72,163.3465,163.973188
        73,165.34649,166.817748
        74,167.346506,168.206012
        75,169.346505,170.091761
        76,171.346489,171.986428
        77,173.346492,174.248644
        78,175.346484,176.301589
        79,177.346497,179.260027
        80,179.346502,
        81,181.346483,
        82,183.346494,185.395041
        83,185.350892,186.060036
        84,187.346487,188.551743
        85,189.346487,
        86,191.346491,193.901327
        87,193.34649,193.998708
        88,195.346488,196.046869
        89,197.346499,197.794703
        90,199.346504,
