message,departure_time,arrival_time
         1,42.240083,42.619359
         2,44.313855,44.988302
         3,46.240068,46.975768
         4,48.240066,48.614443
         5,50.240064,50.856606
         6,52.240088,53.805794
         7,54.332967,
         8,56.240075,
         9,58.24009,61.495416
        10,60.240088,61.613174
        11,62.240101,62.637506
        12,64.240084,65.301707
        13,66.240087,66.938824
        14,68.240084,68.860518
        15,70.240083,70.832046
        16,72.2401,73.934551
        17,74.240086,74.392262
        18,76.240086,76.591397
        19,78.2401,78.694216
        20,80.255353,80.730913
        21,82.240103,82.400077
        22,84.240085,85.473306
        23,86.240088,86.577957
        24,88.240104,88.422957
        25,90.240104,90.767601
        26,92.240093,
        27,94.240089,98.560691
        28,96.2401,99.511974
        29,98.240106,
        30,100.255353,100.859415
        31,102.240097,109.376801
        32,104.240091,109.495376
        33,106.240091,110.630319
        34,108.240088,111.842183
        35,110.245808,111.918221
        36,112.240097,112.803404
        37,114.240113,114.621601
        38,116.26378,117.47872
        39,118.240083,
        40,120.240087,120.830246
        41,122.240096,122.8048
        42,124.240113,124.866321
        43,126.240096,127.761674
        44,128.240084,128.680353
        45,130.240083,
        46,132.240091,133.020339
        47,134.240084,135.33201
        48,136.2401,136.707848
        49,138.240107,138.3858
        50,140.262768,142.740279
        51,142.240114,143.793415
        52,144.240107,145.115899
        53,146.240088,146.431568
        54,148.240087,149.858574
        55,150.2401,150.838235
        56,152.240086,152.670223
        57,154.240102,
        58,156.2401,
        59,158.272652,
        60,160.240083,182.77131
        61,162.240092,
        62,164.240086,
        63,166.240101,
        64,168.240084,
        65,170.240094,
        66,172.240112,
        67,174.240099,
        68,176.240088,
        69,178.24009,
        70,180.255354,
        71,182.240097,183.949035
        72,184.240105,184.529539
        73,186.240098,186.732744
        74,188.240084,188.826808
        75,190.262754,191.713611
        76,192.240085,192.39076
        77,194.240093,194.545357
        78,196.240084,197.034556
        79,198.240095,198.424345
