message,departure_time,arrival_time
         1,57.331648,58.034278
         2,59.331645,
         3,61.331657,62.833335
         4,63.331635,63.608713
         5,65.331656,65.667644
         6,67.331632,68.567055
         7,69.33163,69.641729
         8,71.331632,72.975206
         9,73.331652,73.664334
        10,75.331659,75.651209
        11,77.331656,77.728341
        12,79.33167,79.572886
        13,81.331738,82.360756
        14,83.33165,
        15,85.331671,
        16,87.331653,
        17,89.331679,
        18,91.393661,94.056605
        19,93.331654,94.141151
        20,95.331667,97.67428
        21,97.331659,98.235699
        22,99.331727,100.584087
        23,101.331726,
        24,103.331742,104.34979
        25,105.331654,106.008836
        26,107.331674,107.863516
        27,109.331657,109.7264
        28,111.331664,
        29,113.331651,115.042436
        30,115.429496,116.599933
        31,117.331745,
        32,119.331651,122.149266
        33,121.33418,123.943063
        34,123.331736,126.161598
        35,125.33165,
        36,127.33165,129.988475
        37,129.417419,131.124199
        38,131.331661,133.330778
        39,133.331655,134.739585
        40,135.339119,135.789789
        41,137.331654,137.759313
        42,139.331672,139.728776
        43,141.331674,142.412579
        44,143.331657,144.292924
        45,145.331651,145.822713
        46,147.33168,147.759035
        47,149.331674,149.724937
        48,151.331652,152.098305
        49,153.331663,
        50,155.331663,158.795938
        51,157.331724,160.615318
        52,159.331676,162.223821
        53,161.331657,163.078157
        54,163.331673,163.932874
        55,165.331654,166.767442
        56,167.331655,168.166358
        57,169.331673,169.601773
        58,171.331668,171.936087
        59,173.331678,174.169233
        60,175.33912,176.25039
        61,177.331653,179.209733
        62,179.331649,180.074551
        63,181.331673,181.832122
        64,183.331656,184.705698
        65,185.331655,186.00973
        66,187.33167,188.472298
        67,189.331658,189.713269
        68,191.331663,193.057318
        69,193.331678,193.951316
        70,195.331667,195.995771
        71,197.331665,197.715257
        72,199.331673,
