bin_start,total,udp,rpl,forwarding
0.0,0.424032,0.12144,0.302592,0.051456
25.0,0.54992,0.454368,0.095552,0.297472
50.0,0.426208,0.3112,0.115008,0.121056
75.0,0.577248,0.528608,0.04864,0.401632
100.0,0.665216,0.572096,0.09312,0.335808
125.0,0.640384,0.616064,0.02432,0.399968
150.0,0.581696,0.581696,,0.433408
175.0,0.552768,0.550336,0.002432,0.34304
