bin_start,total,udp,rpl,forwarding
0.0,0.365344,0.06032,0.305024,0.049952
25.0,0.245568,0.145152,0.100416,0.084768
50.0,0.357408,0.256992,0.100416,0.213376
75.0,0.20816,0.198432,0.009728,0.170368
100.0,0.235328,0.235328,,0.183744
125.0,0.234848,0.132,0.102848,0.111808
150.0,0.191328,0.191328,,0.133632
175.0,0.195104,0.192672,0.002432,0.151648
