mote_id,monitored_time,tx_time,rx_time,on_time,int_time
15,1.088299,0.0,0.0,0.0,0.0
16,1.194192,0.0,0.0,0.001596,0.0
17,1.118067,0.0,0.0,0.001598,0.0
18,1.085793,0.0,0.0,0.000799,0.0
19,1.205952,0.0,0.002207,0.007307,0.00192
20,1.136959,0.0,0.0,0.003991,0.0
21,1.135101,0.0,0.0,0.000799,0.0
1,1.302148,0.0,0.072834,0.55854,0.0
2,1.301945,0.0,0.0,0.004788,0.0
3,1.302531,0.073217,0.0,0.102971,0.0
4,1.301954,0.0,0.0,0.000798,0.0
5,1.225101,0.0,0.0,0.004788,0.0
6,1.301945,0.0,0.0,0.003192,0.0
7,1.302496,0.004414,0.0,0.01364,0.0
8,1.302148,0.0,0.007476,0.018925,0.002184
9,1.302148,0.0,0.002207,0.005369,0.001597
10,1.301954,0.0,0.0,0.000799,0.0
11,1.302503,0.072834,0.0,0.102046,0.0
12,1.247131,0.0,0.0,0.004784,0.0
13,1.229744,0.0,0.0,0.003991,0.0
14,1.208019,0.0,0.0,0.004784,0.0
15,1.301945,0.0,0.0,0.000797,0.0
16,1.194192,0.0,0.0,0.001596,0.0
17,1.243066,0.0,0.0,0.002396,0.0
18,1.085793,0.0,0.0,0.000799,0.0
19,1.301954,0.0,0.002207,0.007307,0.00192
20,1.261959,0.0,0.0,0.00479,0.0
21,1.135101,0.0,0.0,0.000799,0.0
1,1.39885,0.0,0.09932,0.655242,0.0
2,1.399531,0.0,0.002345,0.008552,0.000161
3,1.399535,0.086076,0.0,0.119131,0.0
4,1.376759,0.0,0.0,0.001596,0.0
5,1.400672,0.015066,0.0,0.027439,0.0
6,1.400331,0.0,0.001921,0.008992,0.00276
7,1.400683,0.069574,0.0,0.098069,0.0
8,1.400686,0.043088,0.007476,0.077142,0.002184
9,1.399535,0.0,0.002207,0.005369,0.001597
10,1.321913,0.0,0.002207,0.006319,0.001714
11,1.321988,0.086078,0.0,0.119159,0.0
12,1.39885,0.0,0.000204,0.006361,1e-05
13,1.39885,0.0,0.0,0.00479,0.0
14,1.400407,0.026483,0.0,0.04214,0.0
15,1.399531,0.0,0.0,0.000797,0.0
16,1.399535,0.0,0.0,0.002394,0.0
17,1.368066,0.0,0.0,0.003193,0.0
18,1.335793,0.0,0.0,0.001598,0.0
19,1.326615,0.0,0.002207,0.008105,0.00192
20,1.386959,0.0,0.0,0.005589,0.0
21,1.385101,0.0,0.0,0.001598,0.0
1,1.501969,0.0,0.167742,0.758361,0.0
2,1.471402,0.0,0.002345,0.00935,0.000161
3,1.464943,0.086076,0.002207,0.125199,0.00186
4,1.501759,0.0,0.0,0.002394,0.0
5,1.502129,0.081826,0.0,0.114187,0.0
6,1.490146,0.0,0.004128,0.014798,0.004752
7,1.4251,0.08608,0.0,0.119162,0.0
8,1.465018,0.086079,0.007476,0.132463,0.002184
9,1.464943,0.0,0.002207,0.005369,0.001597
10,1.433266,0.0,0.002207,0.007118,0.001714
11,1.414786,0.086078,0.0,0.119958,0.0
12,1.501969,0.0,0.000212,0.012532,0.003983
13,1.501969,0.0,0.006858,0.017987,0.001547
14,1.490221,0.086078,0.0,0.119159,0.0
15,1.477418,0.0,0.0,0.001595,0.0
16,1.464943,0.0,0.002207,0.008359,0.002168
17,1.493067,0.0,0.0,0.003991,0.0
