cacheTime,cacheHitMean,cacheHitSigma,model
1.000,0.078,0.12149074038789953,0.039210560847677
2.000,0.10800000000000001,0.1391402170474087,0.076883653613364
3.000,0.144,0.1517893276880822,0.113079563282843
4.000,0.192,0.1528397853963424,0.147856211033789
5.000,0.21199999999999997,0.19839354828219594,0.181269246922018
6.000,0.26399999999999996,0.17618172436436194,0.213372138933447
7.000,0.27,0.1503329637837291,0.244216258544275
8.000,0.32399999999999995,0.21872356983187705,0.273850962926309
9.000,0.31599999999999995,0.12263767773404713,0.302323673928969
