dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.708014
,0.0768,,,,,14.4545
,,,0.042688,58.0,23.0,15.803004
,,,0.001024,32.0,1.0,15.850884
0.006784,,,,,,16.28043
,,,0.006784,53.0,4.0,16.427788
0.006784,,,,,,16.427788
,,,0.00512,32.0,5.0,17.802863
,,,0.00512,32.0,5.0,19.803581
,,,0.007424,58.0,4.0,20.804985
,0.0768,,,,,22.148976
,,,0.004096,32.0,4.0,22.552239
0.006784,,,,,,22.874018
,,,0.006784,53.0,4.0,22.928005
0.006784,,,,,,22.928005
,,,0.029696,32.0,29.0,32.0525
,,,0.001856,58.0,1.0,32.101311
,,,0.004096,32.0,4.0,32.550438
,,,0.006144,32.0,6.0,33.803838
,,,0.004096,32.0,4.0,35.801903
0.006784,,,,,,37.725567
,,,0.00512,32.0,5.0,37.802635
,,,0.006784,53.0,4.0,38.178399
0.006784,,,,,,38.178399
,0.0768,,,,,38.352044
,,,0.00512,32.0,5.0,39.803459
,,,0.007424,58.0,4.0,40.804864
,,,0.004096,32.0,4.0,41.802116
,,,0.00512,32.0,5.0,43.802863
,,,0.00512,32.0,5.0,45.803581
,,,0.004096,32.0,4.0,47.801658
,,,0.00512,32.0,5.0,49.802392
,,,0.007424,58.0,4.0,50.803795
,,,0.00512,32.0,5.0,51.803704
,,,0.004096,32.0,4.0,53.801811
,,,0.00512,32.0,5.0,55.802586
,,,0.00512,32.0,5.0,57.803306
,,,0.004096,32.0,4.0,59.801384
,,,0.007424,58.0,4.0,60.802788
,,,0.00512,32.0,5.0,61.802696
,0.0768,,,,,62.688127
,,,0.00512,32.0,5.0,63.803428
,,,0.004096,32.0,4.0,65.801506
,,,0.00512,32.0,5.0,67.927238
0.006784,,,,,,70.561681
,,,0.006784,53.0,4.0,72.303002
0.006784,,,,,,72.303002
,,,0.001856,58.0,1.0,72.354776
,,,0.012288,32.0,12.0,81.553385
,,,0.001024,32.0,1.0,81.601188
,,,0.007424,58.0,4.0,81.92965
,,,0.001024,32.0,1.0,81.980339
,,,0.004096,32.0,4.0,83.801903
,,,0.00512,32.0,5.0,85.802635
,,,0.00512,32.0,5.0,87.803367
,,,0.004096,32.0,4.0,89.801446
,,,0.007424,58.0,4.0,90.802909
,,,0.00512,32.0,5.0,91.802787
,,,0.00512,32.0,5.0,93.80352
,,,0.004096,32.0,4.0,95.801628
,,,0.00512,32.0,5.0,97.80233
,,,0.007424,58.0,4.0,102.803704
,,,0.00512,32.0,5.0,103.553611
,,,0.004096,32.0,4.0,103.80172
,,,0.00512,32.0,5.0,105.802452
,,,0.004096,32.0,4.0,107.800529
,,,0.00512,32.0,5.0,109.801262
,,,0.007424,58.0,4.0,110.927636
,,,0.00512,32.0,5.0,111.802588
,,,0.00512,32.0,5.0,113.803306
,,,0.004096,32.0,4.0,115.801384
,,,0.00512,32.0,5.0,117.802178
,,,0.007424,58.0,4.0,121.678581
,,,0.00512,32.0,5.0,121.803459
,0.0768,,,,,123.17237
,,,0.004096,32.0,4.0,123.801567
0.006784,,,,,,125.311637
,,,0.006784,53.0,4.0,125.427308
0.006784,,,,,,125.427308
,,,0.00512,32.0,5.0,125.802361
,,,0.004096,32.0,4.0,127.800438
,,,0.006144,32.0,6.0,129.803838
,,,0.007424,58.0,4.0,130.930229
,,,0.004096,32.0,4.0,131.802483
,,,0.00512,32.0,5.0,133.803215
,,,0.004096,32.0,4.0,135.801293
,,,0.00512,32.0,5.0,137.927031
,,,0.00512,32.0,5.0,139.802757
,,,0.007424,58.0,4.0,140.80413
,,,0.004096,32.0,4.0,141.801383
,,,0.00512,32.0,5.0,143.802178
,,,0.007424,58.0,4.0,154.178582
,,,0.001024,32.0,1.0,154.229393
,,,0.001024,32.0,1.0,154.276371
,,,0.00512,32.0,5.0,155.803489
,,,0.004096,32.0,4.0,157.801614
,,,0.00512,32.0,5.0,159.802311
,,,0.007424,58.0,4.0,160.803704
,,,0.00512,32.0,5.0,161.803611
,,,0.004096,32.0,4.0,163.80172
,,,0.00512,32.0,5.0,165.802452
,,,0.004096,32.0,4.0,167.80053
,,,0.00512,32.0,5.0,169.801262
,,,0.007424,58.0,4.0,170.927666
,,,0.00512,32.0,5.0,171.802588
,,,0.00512,32.0,5.0,174.803307
,,,0.004096,32.0,4.0,177.051384
,,,0.00512,32.0,5.0,177.802177
,,,0.007424,58.0,4.0,181.428582
,,,0.00512,32.0,5.0,181.803489
,,,0.004096,32.0,4.0,183.801616
,,,0.00512,32.0,5.0,185.802308
,,,0.007424,58.0,4.0,194.303703
,,,0.001024,32.0,1.0,194.354516
,,,0.00512,32.0,5.0,194.678581
,,,0.004096,32.0,4.0,195.801658
,,,0.00512,32.0,5.0,197.802391
