frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
0.000000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
0.003000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
1.371000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
1.384000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
1.411000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
2.931000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
2.974000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
2.982000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
2.984000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
2.985000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
2.997000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
2.998000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
3.000000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.574000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.594000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.617000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.618000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.619000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.614000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.620000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.621000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.633000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.635000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.643000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.646000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.657000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
6.573000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.580000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
6.588000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.590000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
7.976000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
