bin_start,total,udp,rpl,forwarding
0.0,0.442624,0.135168,0.307456,0.135168
25.0,0.256064,0.143488,0.112576,0.094208
50.0,0.368608,0.256032,0.112576,0.131072
75.0,0.221344,0.221344,,0.047104
100.0,0.380384,0.380384,,0.162336
125.0,0.521536,0.428416,0.09312,0.055296
150.0,0.567968,0.282016,0.285952,0.178176
175.0,0.6,0.355392,0.244608,0.161792
