bin_start,total,udp,rpl,forwarding
0.0,0.350592,0.055296,0.295296,0.055296
25.0,0.203584,0.098304,0.10528,0.098304
50.0,0.278368,0.170656,0.107712,0.137216
75.0,0.160096,0.160096,,0.137216
100.0,0.292288,0.191872,0.100416,0.1312
125.0,0.220256,0.215392,0.004864,0.192512
150.0,0.239968,0.239968,,0.217088
175.0,0.186784,0.186784,,0.139264
