estimator,kind,target,mean,std
noinfo,rx,230,4.2297095461711764,6.585149792292872
noinfo,tx,230,4.922523997082478,6.199358789895949
route,rx,230,4.2297095461711764,6.585149792292872
route,tx,230,4.922523997082478,6.199358789895949
