bin_start,dao_tx,dio_tx,dis_tx,mac_tx,ratio_dao,ratio_dis,ratio_dio
0.0,0.040704,0.1536,0.058656,0.022047999999999998,1.8461538461538463,2.660377358490566,6.966618287373004
25.0,0.020352000000000002,0.0768,,0.06620800000000002,0.30739487675205407,,1.159980666988883
50.0,0.020352000000000002,0.0768,,0.077344,0.2631361191559785,,0.9929664873810509
75.0,,,,0.103392,,,
100.0,0.013568,,,0.08816,0.15390199637023594,,
125.0,0.006784,0.0768,,0.15248000000000003,0.04449108079748163,,0.5036726128016787
150.0,0.013568,,,0.134368,0.10097642295784712,,
175.0,0.013568,,,0.12704,0.10680100755667507,,
