dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.378516
,0.0768,,,,,10.125014
0.006784,,,,,,12.036561
,,,0.022048,53.0,13.0,12.114464
0.006784,,,,,,12.114464
,,,0.006784,53.0,4.0,16.114421
0.006784,,,,,,16.114421
,0.0768,,,,,17.389856
0.006784,,,,,,21.482101
,,,0.006784,53.0,4.0,21.614509
0.006784,,,,,,21.614509
,,,0.001312,41.0,1.0,21.66564
,,,0.006784,53.0,4.0,22.7396
0.006784,,,,,,22.7396
,,,0.005248,41.0,4.0,23.613226
,,,0.005248,41.0,4.0,25.612219
,,,0.00656,41.0,5.0,27.739173
,0.0768,,,,,29.163052
0.006784,,,,,,30.466251
,,,0.006784,53.0,4.0,30.864631
0.006784,,,,,,30.864631
,,,0.006784,53.0,4.0,37.114722
0.006784,,,,,,37.114722
,,,0.001312,41.0,1.0,37.165778
,,,0.005248,41.0,4.0,37.73835
,,,0.001312,41.0,1.0,37.78939
,,,0.005248,41.0,4.0,39.612342
,,,0.00656,41.0,5.0,42.114294
,,,0.005248,41.0,4.0,43.613288
,,,0.005248,41.0,4.0,45.73728
,,,0.00656,41.0,5.0,47.739233
,,,0.005248,41.0,4.0,49.738226
,,,0.00512,32.0,5.0,57.488654
,,,0.004096,32.0,4.0,59.486731
,,,0.00512,32.0,5.0,61.737477
,0.0768,,,,,62.749366
,,,0.00656,41.0,5.0,63.239722
,,,0.001312,41.0,1.0,63.290778
,,,0.004096,32.0,4.0,63.487494
,,,0.002624,41.0,2.0,63.980914
,,,0.001312,41.0,1.0,64.032049
0.006784,,,,,,65.419383
,,,0.007168,32.0,7.0,65.486644
,,,0.006784,53.0,4.0,65.987433
0.006784,,,,,,65.987433
,,,0.001312,41.0,1.0,66.038554
,,,0.00512,32.0,5.0,67.612494
,,,0.001312,41.0,1.0,67.663554
,,,0.006784,53.0,4.0,68.113288
0.006784,,,,,,68.113288
,,,0.005248,41.0,4.0,72.486946
,,,0.00512,32.0,5.0,73.112404
,,,0.001312,41.0,1.0,73.163554
,,,0.00512,32.0,5.0,73.488172
,,,0.005248,41.0,4.0,73.61248
,,,0.00512,32.0,5.0,75.612922
,,,0.005248,41.0,4.0,75.73722
,,,0.00512,32.0,5.0,77.612647
,,,0.005248,41.0,4.0,77.736945
,,,0.00512,32.0,5.0,79.487372
,,,0.00656,41.0,5.0,79.739631
,,,0.004096,32.0,4.0,81.487403
,,,0.00656,41.0,5.0,81.614698
,,,0.004096,32.0,4.0,83.487477
,,,0.00656,41.0,5.0,83.614722
,,,0.004096,32.0,4.0,85.487494
,,,0.00656,41.0,5.0,85.989783
,,,0.004096,32.0,4.0,87.487556
,,,0.005248,41.0,4.0,87.986884
,,,0.00512,32.0,5.0,89.487312
,,,0.00656,41.0,5.0,89.739569
,,,0.004096,32.0,4.0,91.487341
,,,0.00512,32.0,5.0,93.488105
,,,0.00512,32.0,5.0,95.488837
