dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.287112
,0.0768,,,,,9.970093
,,,0.03936,41.0,30.0,11.05067
0.006784,,,,,,11.484066
,,,0.006784,53.0,4.0,11.67599
0.006784,,,,,,11.67599
,,,0.005248,41.0,4.0,13.424616
,,,0.00848,53.0,5.0,14.053412
0.006784,,,,,,14.053412
,,,0.005248,41.0,4.0,15.052058
0.006784,,,,,,15.515329
,,,0.006784,53.0,4.0,15.802579
0.006784,,,,,,15.802579
,,,0.005248,41.0,4.0,18.801203
,,,0.00656,41.0,5.0,19.178157
,0.0768,,,,,19.501184
,,,0.005248,41.0,4.0,21.427162
,,,0.005248,41.0,4.0,23.176141
,,,0.006784,53.0,4.0,24.801607
0.006784,,,,,,24.801607
,,,0.00656,41.0,5.0,25.178188
,,,0.005248,41.0,4.0,27.052179
,,,0.005248,41.0,4.0,30.051173
,0.0768,,,,,30.548098
,,,0.00656,41.0,5.0,31.428136
,,,0.005248,41.0,4.0,33.302119
0.006784,,,,,,35.093446
,,,0.006784,53.0,4.0,35.302581
0.006784,,,,,,35.302581
,,,0.005248,41.0,4.0,35.676203
,,,0.006784,53.0,4.0,37.426691
0.006784,,,,,,37.426691
,,,0.001312,41.0,1.0,37.476892
,,,0.00656,41.0,5.0,39.178278
,,,0.005248,41.0,4.0,41.67724
,,,0.004096,32.0,4.0,42.800043
,,,0.00656,41.0,5.0,43.677271
,,,0.004096,32.0,4.0,44.300043
,,,0.00656,41.0,5.0,45.427302
,,,0.004096,32.0,4.0,46.300082
,,,0.00656,41.0,5.0,47.677332
,,,0.004096,32.0,4.0,48.300105
,,,0.00512,32.0,5.0,50.425836
,,,0.00512,32.0,5.0,52.301569
,,,0.00512,32.0,5.0,54.302304
,,,0.004096,32.0,4.0,56.550409
0.006784,,,,,,56.804373
,,,0.006784,53.0,4.0,57.051172
0.006784,,,,,,57.051172
,,,0.00656,41.0,5.0,58.552759
,,,0.001312,41.0,1.0,58.602964
,,,0.004096,32.0,4.0,59.300531
,,,0.00512,32.0,5.0,60.426264
,0.0768,,,,,60.805868
,,,0.005248,41.0,4.0,62.050562
,,,0.00512,32.0,5.0,62.30099
,,,0.00656,41.0,5.0,63.928248
,,,0.004096,32.0,4.0,64.30102
,,,0.00656,41.0,5.0,65.178277
,,,0.006784,53.0,4.0,65.553735
0.006784,,,,,,65.553735
,,,0.004096,32.0,4.0,66.676172
,,,0.005248,41.0,4.0,67.17547
,,,0.00512,32.0,5.0,68.800913
,,,0.00656,41.0,5.0,69.178156
,,,0.004096,32.0,4.0,70.550929
,,,0.00656,41.0,5.0,71.803188
,,,0.004096,32.0,4.0,72.300958
,,,0.00656,41.0,5.0,74.053218
,,,0.004096,32.0,4.0,74.30099
,,,0.00656,41.0,5.0,75.928247
,,,0.004096,32.0,4.0,76.301019
,,,0.00656,41.0,5.0,77.178278
,,,0.004096,32.0,4.0,78.301054
,,,0.00656,41.0,5.0,79.177362
,,,0.004096,32.0,4.0,80.300135
,,,0.00656,41.0,5.0,81.302393
,,,0.004096,32.0,4.0,82.300226
,,,0.005248,41.0,4.0,83.299527
,,,0.006144,32.0,6.0,84.302606
,,,0.005248,41.0,4.0,85.051935
,,,0.00512,32.0,5.0,86.302442
,,,0.004096,32.0,4.0,88.925471
,,,0.00512,32.0,5.0,90.426203
,,,0.004096,32.0,4.0,92.299281
,,,0.00656,41.0,5.0,101.176569
,,,0.005248,41.0,4.0,102.175561
,,,0.002624,41.0,2.0,102.22874
,,,0.00512,32.0,5.0,102.67599
,,,0.001312,41.0,1.0,102.72619
,,,0.007424,58.0,4.0,105.677485
,,,0.001312,41.0,1.0,105.727685
,,,0.00512,32.0,5.0,106.302442
,,,0.001856,58.0,1.0,106.353266
,,,0.005248,41.0,4.0,107.176691
,,,0.001024,32.0,1.0,107.226557
,,,0.001312,41.0,1.0,107.273859
,,,0.00512,32.0,5.0,107.927165
,,,0.001312,41.0,1.0,107.977381
,,,0.004096,32.0,4.0,108.300257
,,,0.005248,41.0,4.0,109.549555
,,,0.006144,32.0,6.0,110.427638
,,,0.004096,32.0,4.0,112.300807
,,,0.00512,32.0,5.0,114.30157
,,,0.00512,32.0,5.0,117.302304
,,,0.004096,32.0,4.0,118.800409
,,,0.00512,32.0,5.0,120.426142
,,,0.005248,41.0,4.0,122.300471
,,,0.00656,41.0,5.0,122.67744
,,,0.005248,41.0,4.0,123.301446
,,,0.001024,32.0,1.0,123.351313
,,,0.005248,41.0,4.0,124.050471
,,,0.00512,32.0,5.0,124.300915
,,,0.00656,41.0,5.0,125.178157
,,,0.004096,32.0,4.0,126.675928
,,,0.00656,41.0,5.0,127.678186
,,,0.004096,32.0,4.0,128.300958
,0.0768,,,,,134.751342
,,,0.044032,32.0,43.0,141.300823
,,,0.002048,32.0,2.0,141.793452
,,,0.001312,41.0,1.0,141.843652
0.006784,,,,,,154.291958
,,,0.030528,53.0,18.0,154.801067
0.006784,,,,,,154.801067
,,,0.001312,41.0,1.0,154.848353
,,,0.001024,32.0,1.0,154.895319
,,,0.009184,41.0,7.0,155.032226
,,,0.005248,41.0,4.0,155.674555
,,,0.001024,32.0,1.0,155.724456
,,,0.004096,32.0,4.0,156.405004
,,,0.006144,32.0,6.0,156.677637
,,,0.005248,41.0,4.0,157.154308
0.006784,,,,,,157.203926
,,,0.006784,53.0,4.0,157.27975
0.006784,,,,,,157.27975
,,,0.005248,41.0,4.0,157.427026
,,,0.002048,32.0,2.0,157.479578
,0.0768,,,,,157.527377
,,,0.00512,32.0,5.0,158.40481
,,,0.00656,41.0,5.0,159.032087
,,,0.004096,32.0,4.0,160.404863
,,,0.00512,32.0,5.0,162.655573
,0.0768,,,,,164.149264
,,,0.006784,53.0,4.0,164.406335
0.006784,,,,,,164.406335
,,,0.001312,41.0,1.0,164.456607
,,,0.001024,32.0,1.0,164.503627
,,,0.00512,32.0,5.0,166.656397
,,,0.004096,32.0,4.0,168.404474
,,,0.00512,32.0,5.0,170.405212
,,,0.004096,32.0,4.0,172.403285
,,,0.00848,53.0,5.0,173.532374
0.006784,,,,,,173.532374
,,,0.001312,41.0,1.0,173.582635
,,,0.005248,41.0,4.0,174.031
,,,0.005248,41.0,4.0,174.530004
,,,0.00512,32.0,5.0,175.030421
,,,0.001312,41.0,1.0,175.080682
0.006784,,,,,,175.292002
,,,0.003392,53.0,2.0,175.399531
0.006784,,,,,,175.399531
,,,0.00512,32.0,5.0,176.302485
,,,0.005248,41.0,4.0,177.051782
,0.0768,,,,,177.634143
,,,0.00512,32.0,5.0,178.302209
0.006784,,,,,,178.585629
,,,0.006784,53.0,4.0,179.178065
0.006784,,,,,,179.178065
,,,0.001312,41.0,1.0,179.228266
,,,0.004096,32.0,4.0,180.30044
,,,0.00656,41.0,5.0,181.302698
,,,0.006784,53.0,4.0,182.303156
0.006784,,,,,,182.303156
,,,0.001024,32.0,1.0,182.353066
,,,0.005248,41.0,4.0,183.051783
,0.0768,,,,,184.071494
,,,0.00512,32.0,5.0,184.55221
,,,0.005248,41.0,4.0,185.051568
,,,0.00512,32.0,5.0,186.301996
,,,0.005248,41.0,4.0,187.801294
,,,0.006784,53.0,4.0,188.676782
0.006784,,,,,,188.676782
,,,0.004096,32.0,4.0,189.79922
,,,0.00656,41.0,5.0,190.301477
,,,0.004096,32.0,4.0,190.799249
,,,0.00656,41.0,5.0,191.176507
,,,0.004096,32.0,4.0,192.299281
,,,0.00656,41.0,5.0,193.176569
,,,0.00512,32.0,5.0,194.301996
,,,0.005248,41.0,4.0,195.551295
,,,0.00656,41.0,5.0,199.678247
,,,0.001024,32.0,1.0,199.728114
