dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.392614
,0.0768,,,,,6.239681
0.006784,,,,,,8.863144
,,,0.001696,53.0,1.0,8.900989
0.006784,,,,,,8.900989
,,,0.001312,41.0,1.0,11.265519
,,,0.001696,53.0,1.0,12.005695
0.006784,,,,,,12.005695
,,,0.001312,41.0,1.0,13.370166
,0.0768,,,,,15.481834
0.006784,,,,,,15.894866
,,,0.001696,53.0,1.0,16.110378
0.006784,,,,,,16.110378
,,,0.001696,53.0,1.0,16.161946
0.006784,,,,,,16.161946
,,,0.001312,41.0,1.0,16.724842
,,,0.001696,53.0,1.0,16.776355
0.006784,,,,,,16.776355
,,,0.001312,41.0,1.0,17.464679
,,,0.001696,53.0,1.0,17.954884
0.006784,,,,,,17.954884
,,,0.001696,53.0,1.0,19.444722
0.006784,,,,,,19.444722
,,,0.001312,41.0,1.0,19.494953
,,,0.001312,41.0,1.0,21.184193
,,,0.001312,41.0,1.0,21.54903
,,,0.001696,53.0,1.0,22.664265
0.006784,,,,,,22.664265
,,,0.001696,53.0,1.0,23.654103
0.006784,,,,,,23.654103
,,,0.001312,41.0,1.0,23.704304
,,,0.001312,41.0,1.0,23.751606
,,,0.001312,41.0,1.0,24.143573
,,,0.001312,41.0,1.0,25.883412
,,,0.001312,41.0,1.0,25.934558
,,,0.001312,41.0,1.0,26.248248
,,,0.001312,41.0,1.0,27.363086
,,,0.001312,41.0,1.0,28.102925
,,,0.001312,41.0,1.0,28.153979
,,,0.001696,53.0,1.0,28.968128
0.006784,,,,,,28.968128
,,,0.001312,41.0,1.0,29.018359
,,,0.001312,41.0,1.0,29.207601
,,,0.001696,53.0,1.0,31.072803
0.006784,,,,,,31.072803
,,,0.001312,41.0,1.0,31.123004
0.006784,,,,,,31.170069
,0.0768,,,,,31.19121
,,,0.001696,53.0,1.0,31.437641
0.006784,,,,,,31.437641
,,,0.001312,41.0,1.0,32.052112
,,,0.001312,41.0,1.0,32.102314
,,,0.001312,41.0,1.0,32.416951
,,,0.001312,41.0,1.0,32.467171
,,,0.001312,41.0,1.0,36.531798
,,,0.001312,41.0,1.0,36.58202
,,,0.001312,41.0,1.0,36.629291
,,,0.001312,41.0,1.0,36.677478
,,,0.001312,41.0,1.0,36.724788
,,,0.001312,41.0,1.0,36.772084
,,,0.001312,41.0,1.0,36.819385
,,,0.001696,53.0,1.0,36.867085
0.006784,,,,,,36.867085
,,,0.001312,41.0,1.0,37.021626
,,,0.001312,41.0,1.0,37.511483
,,,0.001312,41.0,1.0,37.561698
,,,0.001312,41.0,1.0,38.126301
,,,0.001696,53.0,1.0,39.741505
0.006784,,,,,,39.741505
,,,0.001312,41.0,1.0,39.792621
,,,0.001312,41.0,1.0,40.230976
,,,0.001312,41.0,1.0,40.282062
,,,0.001312,41.0,1.0,40.845813
,,,0.001696,53.0,1.0,40.896442
0.006784,,,,,,40.896442
,,,0.001312,41.0,1.0,41.335652
,,,0.001312,41.0,1.0,43.200489
,,,0.001696,53.0,1.0,45.190693
0.006784,,,,,,45.190693
,,,0.001312,41.0,1.0,45.240893
,,,0.001312,41.0,1.0,45.555164
,,,0.001696,53.0,1.0,45.605792
0.006784,,,,,,45.605792
,,,0.001312,41.0,1.0,45.65398
,,,0.001312,41.0,1.0,45.701282
,,,0.001312,41.0,1.0,46.420002
,,,0.001312,41.0,1.0,46.470203
,,,0.001312,41.0,1.0,46.784839
,,,0.001312,41.0,1.0,46.83504
,,,0.001312,41.0,1.0,47.274738
,,,0.001312,41.0,1.0,47.32497
,,,0.001312,41.0,1.0,47.764576
,,,0.001312,41.0,1.0,47.814778
,,,0.001312,41.0,1.0,48.254413
,,,0.001312,41.0,1.0,49.119252
,,,0.001312,41.0,1.0,49.234088
,,,0.001312,41.0,1.0,50.223927
,,,0.001312,41.0,1.0,50.713764
,,,0.001312,41.0,1.0,51.078601
,,,0.001312,41.0,1.0,51.128804
,0.0768,,,,,51.411497
,,,0.001312,41.0,1.0,51.943439
,,,0.001312,41.0,1.0,51.99364
,,,0.001312,41.0,1.0,52.433277
,,,0.001312,41.0,1.0,52.483479
,,,0.001312,41.0,1.0,53.173114
,,,0.001312,41.0,1.0,53.537952
,,,0.001024,32.0,1.0,53.587819
,,,0.001312,41.0,1.0,54.15279
,,,0.001312,41.0,1.0,54.202991
,,,0.001696,53.0,1.0,54.518019
0.006784,,,,,,54.518019
,,,0.001312,41.0,1.0,54.56826
,,,0.001312,41.0,1.0,55.132465
,,,0.001024,32.0,1.0,55.621997
,,,0.001312,41.0,1.0,55.673176
,,,0.001312,41.0,1.0,56.112141
,,,0.001312,41.0,1.0,56.163318
,,,0.001312,41.0,1.0,56.351978
,,,0.001312,41.0,1.0,57.466816
,,,0.001312,41.0,1.0,57.517047
,,,0.001024,32.0,1.0,57.564014
,,,0.001312,41.0,1.0,57.706654
,,,0.001312,41.0,1.0,58.571491
,,,0.001312,41.0,1.0,58.621692
,,,0.001312,41.0,1.0,59.186329
,,,0.001024,32.0,1.0,59.925861
,,,0.001312,41.0,1.0,59.976063
,,,0.001696,53.0,1.0,60.024718
0.006784,,,,,,60.024718
,,,0.001312,41.0,1.0,60.07201
,,,0.001312,41.0,1.0,60.666004
,,,0.001312,41.0,1.0,60.716205
,,,0.001312,41.0,1.0,61.280841
,,,0.001312,41.0,1.0,61.331043
,,,0.001024,32.0,1.0,61.520379
,,,0.001312,41.0,1.0,61.885517
,,,0.001312,41.0,1.0,61.935726
,,,0.001312,41.0,1.0,62.125354
0.006784,,,,,,62.738153
,,,0.001696,53.0,1.0,62.990576
0.006784,,,,,,62.990576
,,,0.001312,41.0,1.0,63.041646
,,,0.001024,32.0,1.0,63.479726
,,,0.001024,32.0,1.0,65.469563
,,,0.001312,41.0,1.0,66.834719
,,,0.001312,41.0,1.0,66.884953
,,,0.001312,41.0,1.0,67.449543
,,,0.001024,32.0,1.0,67.499409
,,,0.001312,41.0,1.0,67.814381
,,,0.001312,41.0,1.0,67.864582
,,,0.001312,41.0,1.0,70.179218
,,,0.001312,41.0,1.0,70.22942
,,,0.001312,41.0,1.0,70.544056
,,,0.001312,41.0,1.0,70.594257
,,,0.001024,32.0,1.0,70.641223
,,,0.001312,41.0,1.0,70.688503
,,,0.001696,53.0,1.0,70.736226
0.006784,,,,,,70.736226
,,,0.001312,41.0,1.0,71.033893
,,,0.001312,41.0,1.0,71.084094
,,,0.001312,41.0,1.0,71.131396
,,,0.001312,41.0,1.0,71.179554
,,,0.001312,41.0,1.0,71.226871
,,,0.001312,41.0,1.0,71.398792
,,,0.001024,32.0,1.0,71.448675
,,,0.001312,41.0,1.0,71.888634
,,,0.001312,41.0,1.0,73.503468
,,,0.001312,41.0,1.0,73.554553
,,,0.001024,32.0,1.0,73.60152
,,,0.001312,41.0,1.0,73.743305
,,,0.001312,41.0,1.0,75.358156
,,,0.001024,32.0,1.0,75.472675
,,,0.001856,58.0,1.0,75.524097
,,,0.001856,58.0,1.0,76.338337
,,,0.001024,32.0,1.0,77.577351
,,,0.001312,41.0,1.0,77.627583
,,,0.001856,58.0,1.0,78.193012
,,,0.001312,41.0,1.0,78.243214
,,,0.001312,41.0,1.0,78.932332
,,,0.001856,58.0,1.0,79.297688
,,,0.001312,41.0,1.0,79.347889
,,,0.001024,32.0,1.0,79.786701
,,,0.001312,41.0,1.0,79.83694
,,,0.001312,41.0,1.0,79.884235
,,,0.001312,41.0,1.0,81.276844
,,,0.001024,32.0,1.0,81.391376
,,,0.001312,41.0,1.0,83.631519
,,,0.001024,32.0,1.0,83.682271
,,,0.001696,53.0,1.0,84.621724
0.006784,,,,,,84.621724
