coef_rx,coef_tx,diff_rx_noinfo,diff_rx_route,diff_tx_noinfo,diff_tx_route,error_rx_noinfo,error_rx_route,error_tx_noinfo,error_tx_route,estimation_rx_noinfo,estimation_rx_route,estimation_tx_noinfo,estimation_tx_route,real_rx,real_tx,time,bin_start
0.002812990634977689,0.01610249437224001,0.21009358543405726,0.15878958543405733,1.177331096476758,1.0526526964767577,0.9908691987675367,0.748902966107256,0.9700123890159784,0.8672888705387973,0.0019359999999999996,0.05323999999999992,0.0363968,0.1610752000000001,0.21202958543405726,1.213727896476758,75.375148,75.0
0.005656826493943002,0.011140530408600887,0.425667297287606,0.425667297287606,0.8353737678969343,0.8353737678969343,0.9977310831847382,0.9977310831847382,0.9942395611867745,0.9942395611867745,0.0009679999999999998,0.0009679999999999998,0.0048400000000000006,0.0048400000000000006,0.426635297287606,0.8402137678969342,75.419548,75.0
0.0038512706605134716,0.02078547310873511,0.28869,0.270298,1.5321242,1.4841113999999997,0.9933385175448859,0.9300544342213015,0.9767954652822628,0.9461852279950348,0.0019359999999999996,0.020328000000000006,0.0363968,0.08440960000000003,0.290626,1.5685209999999998,75.462367,75.0
0.0004493456890066991,0.012634556733428993,0.032083999999999994,-0.03259599999999991,0.9193466,0.7637449999999998,0.9455381350937168,-0.960627136626191,0.9635857870701791,0.8004965993738528,0.0018479999999999996,0.0665279999999999,0.0347424,0.1903440000000002,0.033932,0.954089,75.514244,75.0
0.0036547129090955697,0.015980341585200036,0.2759896089286634,0.2553976089286634,1.1902678,1.1392454,0.995872027198641,0.921568516774178,0.9822514905819975,0.9401459841967362,0.0011439999999999998,0.021736000000000002,0.0215072,0.07252960000000001,0.2771336089286634,1.211775,75.829105,75.0
0.004741561594558766,0.024199866249817105,0.357606,0.35478999999999994,1.7865722000000002,1.7724922,0.9921869364245246,0.9843738728490491,0.9712202088270102,0.9635660090469597,0.0028159999999999995,0.005632000000000007,0.0529408,0.06702080000000003,0.36042199999999996,1.8395130000000002,76.013354,75.0
0.004450503811177105,0.014756633257919689,0.17090759406405132,0.04731159406405128,0.11331562187094413,-0.187045978129055,0.5119823309725854,0.14172980635292148,0.10237768209511461,-0.1689911185226998,0.3749374059359487,0.49853340593594875,2.207251378129056,2.507612978129055,0.545845,2.320567,150.381356,150.0
0.007965777229270105,0.007556502578775767,0.27482356926237783,0.27482356926237783,-0.0814554201143769,-0.0814554201143769,0.4601739502833808,0.4601739502833808,-0.14377896878347116,-0.14377896878347116,0.7490284307376222,0.7490284307376222,1.4882014201143767,1.4882014201143767,1.023852,1.4067459999999998,150.392358,150.0
0.005786233173841,0.036604686847137906,0.21298635440574631,0.17118635440574637,1.493831870307047,1.3847118703070471,0.4906694367208887,0.39437227011527176,0.5439991020845255,0.5042615765976298,0.5117126455942537,0.5535126455942536,2.820708129692953,2.929828129692953,0.724699,4.31454,150.480602,150.0
0.000623422196915153,0.014854239646566781,0.017278257116630877,-0.13056174288336914,0.3243626956486274,-0.031298104351370704,0.36916986339830515,-2.789602010199541,0.2908633786076295,-0.02806571932524373,0.06345674288336912,0.21129674288336914,1.7448983043513726,2.1005591043513707,0.080735,2.069261,150.588568,150.0
0.005085065828100627,0.028374105303898053,0.17175432190673434,0.09889032190673441,1.153061185291758,0.9725203852917579,0.45034968789836316,0.25929609870923614,0.5418373620063839,0.45699906196268764,0.48675919361908115,0.5596231936190811,2.186771542255965,2.367312342255965,0.6585135155258155,3.339832727547723,150.829099,150.0
0.007614782614190082,0.030072176711329873,0.2993597082360161,0.2942557082360161,0.7984148934248148,0.772894893424815,0.5240560963174871,0.5151210852187468,0.3539204888057954,0.3426080108589216,0.6322982917639839,0.6374022917639839,3.2970141065751855,3.322534106575185,0.931658,4.095429,151.030072,150.0
