time,rx_noinfo,rx_route,tx_noinfo,tx_route,last_recalibration_time,estimation_tx_route,estimation_tx_noinfo,estimation_rx_route,estimation_rx_noinfo
21.212022,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
21.212022,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
21.212022,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
21.212022,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
21.212022,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
23.735601,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
23.735601,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
23.735601,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
23.735601,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
23.735601,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
25.962403,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
25.962403,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
25.962403,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
25.962403,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
25.962403,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
28.130777,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
28.130777,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
28.130777,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
28.130777,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
28.130777,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
31.154246,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
31.154246,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
31.154246,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
31.154246,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
31.154246,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
32.444802,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
32.444802,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
32.444802,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
32.444802,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
32.444802,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
36.705364,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
36.705364,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
36.705364,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
36.705364,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
36.705364,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
37.589542,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
37.589542,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
37.589542,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
37.589542,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0,0.0,0.0,0.0
37.589542,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0,0.0,0.0,0.0
40.258861,0.0,0.000352,0.0,0.00176,0.0,0.0,0.0,0.0,0.0
