dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,,0.006144,32.0,6.0,168.504697
,,,0.005248,41.0,4.0,169.128996
,,,0.001312,41.0,1.0,169.180051
,,,0.004096,32.0,4.0,171.501769
,,,0.001312,41.0,1.0,171.552854
,,,0.00512,32.0,5.0,172.5025
,,,0.004096,32.0,4.0,174.500577
,,,0.00512,32.0,5.0,176.501341
,,,0.00512,32.0,5.0,178.502074
,,,0.00512,32.0,5.0,180.502805
,,,0.005248,41.0,4.0,181.252103
,,,0.001312,41.0,1.0,181.303251
,,,0.00512,32.0,5.0,182.502531
,,,0.005248,41.0,4.0,182.751829
,,,0.00512,32.0,5.0,184.502274
,,,0.00656,41.0,5.0,184.754514
,,,0.004096,32.0,4.0,186.502287
,,,0.00656,41.0,5.0,186.754545
,,,0.004096,32.0,4.0,188.502317
,,,0.00656,41.0,5.0,188.879575
,,,0.004096,32.0,4.0,190.502349
,,,0.00656,41.0,5.0,190.879575
,,,0.004096,32.0,4.0,192.502348
,,,0.005248,41.0,4.0,192.751646
,,,0.00512,32.0,5.0,194.502074
,,,0.00656,41.0,5.0,195.129332
,,,0.004096,32.0,4.0,196.502104
,,,0.00656,41.0,5.0,196.879362
,,,0.004096,32.0,4.0,198.502138
