bin_start,total,udp,rpl,forwarding
0.0,0.491328,0.164416,0.326912,0.055296
25.0,0.513856,0.347776,0.16608,0.270336
50.0,0.680928,0.536736,0.144192,0.362496
75.0,0.619616,0.609888,0.009728,0.50624
100.0,0.72464,0.61936,0.10528,0.28672
125.0,0.66048,0.638592,0.021888,0.448512
150.0,0.575392,0.575392,,0.492864
175.0,0.540416,0.540416,,0.413696
200.0,0.002048,0.002048,,0.002048
