bin_start,total,udp,rpl,forwarding
0.0,0.314624,0.026624,0.288,0.026624
25.0,0.198592,0.086016,0.112576,0.086016
50.0,0.241248,0.1384,0.102848,0.114688
75.0,0.145056,0.142624,0.002432,0.121504
100.0,0.196928,0.098944,0.097984,0.077824
125.0,0.126336,0.121472,0.004864,0.100352
150.0,0.130592,0.130592,,0.10512
175.0,0.129376,0.129376,,0.106496
