time,mote_id,node,message_type,message,tx,rx,size
1.298205,,19,energy,,0.0,0.002264,
1.298205,,2,energy,,0.0,0.00228,
1.298205,,14,energy,,0.0,0.002207,
1.298205,,1,energy,,0.0,0.090494,
1.298243,,3,energy,,0.039725,0.01545,
1.299996,,11,energy,,0.05256,0.0,
1.31574,10,,mac_reception,,,,
1.338753,14,,rpl,,,,
1.352455,2,,rpl,,,,
1.356132,5,,rpl,,,,
1.365336,1,,mac_reception,,,,
1.365496,6,,mac_reception,,,,
1.375482,17,,mac_reception,,,,
1.377941,12,,rpl,,,,
1.382462,12,,mac_reception,,,,
1.385442,4,,mac_reception,,,,
1.392111,21,,mac_reception,,,,
1.392813,20,,rpl,,,,
1.397282,20,,mac_reception,,,,
1.398773,7,,mac_reception,,,,
1.402326,,12,energy,,0.0,0.006623,
1.402326,,20,energy,,0.0,0.005743,
1.402326,,19,energy,,0.0,0.002264,
1.402326,,1,energy,,0.0,0.134639,
1.402326,,18,energy,,0.0,0.0,
1.402326,,2,energy,,0.0,0.00228,
1.402326,,6,energy,,0.0,0.004493,
1.402326,,13,energy,,0.0,0.002253,
1.402326,,4,energy,,0.0,0.004415,
1.402326,,3,energy,,0.044139,0.04856,
1.402326,,17,energy,,0.0,0.006622,
1.402326,,16,energy,,0.0,0.002266,
1.402326,,11,energy,,0.059597,0.0,
1.402326,,10,energy,,0.0,0.00223,
1.402326,,8,energy,,0.0,0.002241,
1.402326,,5,energy,,0.0,0.002214,
1.402326,,7,energy,,0.0,0.007211,
1.402326,,15,energy,,0.0,0.002208,
1.402326,,21,energy,,0.0,0.002208,
1.402326,,9,energy,,0.0,0.002271,
1.402998,,14,energy,,0.031575,0.002207,
1.412089,8,,mac_reception,,,,
1.416807,3,,mac_reception,,,,
1.422015,11,,mac_reception,,,,
1.441985,10,,mac_reception,,,,
1.451978,16,,mac_reception,,,,
1.458661,19,,mac_reception,,,,
1.468609,18,,mac_reception,,,,
1.478571,2,,mac_reception,,,,
1.481957,5,,mac_reception,,,,
1.484367,,15,energy,,0.0,0.006621,
1.484367,,11,energy,,0.059597,0.002207,
1.484367,,21,energy,,0.0,0.002208,
1.484367,,5,energy,,0.0,0.004421,
1.484367,,16,energy,,0.0,0.00668,
1.484367,,3,energy,,0.044139,0.055964,
1.484367,,8,energy,,0.0,0.004449,
1.484367,,19,energy,,0.0,0.004471,
1.484367,,18,energy,,0.0,0.004413,
1.484367,,20,energy,,0.0,0.005743,
1.484367,,2,energy,,0.0,0.004488,
1.484367,,7,energy,,0.0,0.007211,
1.484367,,10,energy,,0.0,0.006644,
1.484367,,9,energy,,0.0,0.002271,
1.484367,,1,energy,,0.0,0.189814,
1.484443,,14,energy,,0.086078,0.002207,
1.484821,,6,energy,,0.0,0.0067,
1.485242,15,,mac_reception,,,,
1.485607,13,,rpl,,,,
1.486354,,13,energy,,0.0,0.006666,
1.490076,13,,mac_reception,,,,
1.492416,,17,energy,,0.0,0.006622,
1.49648,,12,energy,,0.0,0.006623,
1.501108,,4,energy,,0.0,0.004415,
1.518623,1,,mac_reception,,,,
1.525361,9,,mac_reception,,,,
1.525371,7,,mac_reception,,,,
1.538701,8,,mac_reception,,,,
1.545358,3,,mac_reception,,,,
1.548653,11,,mac_reception,,,,
1.565311,10,,mac_reception,,,,
1.5753,16,,mac_reception,,,,
1.585252,19,,mac_reception,,,,
1.588605,14,,mac_reception,,,,
1.591924,18,,mac_reception,,,,
1.604328,,14,energy,,0.086078,0.004413,
1.604328,,8,energy,,0.0,0.006656,
1.604328,,21,energy,,0.0,0.002208,
1.604328,,7,energy,,0.0,0.011625,
1.604328,,18,energy,,0.0,0.00662,
1.604328,,10,energy,,0.0,0.008851,
1.604328,,4,energy,,0.0,0.004415,
1.604328,,9,energy,,0.0,0.006685,
1.604328,,17,energy,,0.0,0.006622,
1.604328,,2,energy,,0.0,0.008902,
1.604328,,6,energy,,0.0,0.0067,
1.604328,,20,energy,,0.0,0.005743,
1.604328,,1,energy,,0.0,0.251613,
1.604328,,11,energy,,0.059597,0.006621,
1.604328,,19,energy,,0.0,0.006678,
1.604328,,16,energy,,0.0,0.008888,
1.604328,,3,energy,,0.044139,0.058171,
1.604328,,12,energy,,0.0,0.006623,
1.604802,,15,energy,,0.0,0.008828,
1.604812,,5,energy,,0.0,0.006628,
1.604878,,13,energy,,0.061799,0.006666,
1.605194,2,,mac_reception,,,,
1.60855,15,,mac_reception,,,,
1.608561,5,,mac_reception,,,,
1.614017,6,,rpl,,,,
1.618538,6,,mac_reception,,,,
1.625144,17,,mac_reception,,,,
1.628525,12,,mac_reception,,,,
1.635158,4,,mac_reception,,,,
1.641826,21,,mac_reception,,,,
1.645108,20,,mac_reception,,,,
1.690586,1,,mac_reception,,,,
1.699823,,12,energy,,0.0,0.008829,
1.699823,,2,energy,,0.0,0.008902,
1.699823,,5,energy,,0.0,0.006628,
1.699823,,8,energy,,0.0,0.006795,
1.699823,,20,energy,,0.0,0.007951,
1.699823,,17,energy,,0.0,0.008829,
1.699823,,21,energy,,0.0,0.004415,
1.699823,,1,energy,,0.0,0.286927,
1.699823,,9,energy,,0.0,0.006685,
1.699823,,4,energy,,0.0,0.006622,
1.699823,,18,energy,,0.0,0.00662,
1.699823,,16,energy,,0.0,0.011095,
1.699823,,13,energy,,0.086076,0.006666,
1.699823,,10,energy,,0.0,0.008851,
1.699823,,3,energy,,0.044139,0.058171,
1.699823,,15,energy,,0.0,0.008828,
1.699823,,14,energy,,0.086078,0.004413,
1.699823,,11,energy,,0.059597,0.006621,
1.699823,,6,energy,,0.0,0.011113,
1.700374,,7,energy,,0.011037,0.011625,
1.700565,,19,energy,,0.0,0.006678,
1.700688,16,,mac_reception,,,,
1.707348,19,,rpl,,,,
1.714005,14,,mac_reception,,,,
1.717328,18,,mac_reception,,,,
1.727303,2,,mac_reception,,,,
1.733935,15,,mac_reception,,,,
1.73397,5,,mac_reception,,,,
1.737305,13,,mac_reception,,,,
1.740606,6,,mac_reception,,,,
1.748814,17,,rpl,,,,
1.753286,17,,mac_reception,,,,
1.753945,12,,mac_reception,,,,
1.760652,4,,mac_reception,,,,
1.76722,21,,mac_reception,,,,
1.770568,20,,mac_reception,,,,
1.77388,9,,mac_reception,,,,
1.787212,8,,mac_reception,,,,
1.797167,11,,mac_reception,,,,
1.797171,3,,mac_reception,,,,
1.800736,,14,energy,,0.086078,0.00662,
1.800736,,3,energy,,0.044139,0.060378,
1.800736,,1,energy,,0.0,0.35314,
1.800736,,12,energy,,0.0,0.011035,
1.800736,,9,energy,,0.0,0.008892,
1.800736,,6,energy,,0.0,0.015528,
1.800736,,5,energy,,0.0,0.011042,
1.800736,,4,energy,,0.0,0.011037,
1.800736,,19,energy,,0.0,0.006699,
1.800736,,10,energy,,0.0,0.008851,
1.800736,,20,energy,,0.0,0.010234,
1.800736,,11,energy,,0.059597,0.008828,
1.800736,,21,energy,,0.0,0.006622,
1.800736,,13,energy,,0.086076,0.008873,
1.800736,,16,energy,,0.0,0.011095,
1.800736,,17,energy,,0.0,0.013085,
1.800736,,15,energy,,0.0,0.011035,
1.800736,,18,energy,,0.0,0.008827,
1.800736,,8,energy,,0.0,0.009003,
1.800736,,2,energy,,0.0,0.011109,
1.80128,,7,energy,,0.077794,0.011625,
1.81715,10,,mac_reception,,,,
1.824942,16,,rpl,,,,
1.848187,1,,mac_reception,,,,
1.855003,2,,mac_reception,,,,
1.858305,15,,mac_reception,,,,
1.858316,5,,mac_reception,,,,
1.861675,13,,mac_reception,,,,
1.864981,6,,mac_reception,,,,
1.874959,17,,mac_reception,,,,
1.878307,12,,mac_reception,,,,
1.88492,4,,mac_reception,,,,
1.891574,21,,mac_reception,,,,
1.891605,20,,mac_reception,,,,
1.898231,9,,mac_reception,,,,
1.898254,7,,mac_reception,,,,
1.901806,,18,energy,,0.0,0.008827,
1.901806,,6,energy,,0.0,0.017735,
1.901806,,1,energy,,0.0,0.401696,
1.901806,,4,energy,,0.0,0.013244,
1.901806,,17,energy,,0.0,0.015291,
1.901806,,5,energy,,0.0,0.013249,
1.901806,,12,energy,,0.0,0.013242,
1.901806,,15,energy,,0.0,0.013242,
1.901806,,2,energy,,0.0,0.013315,
1.901806,,14,energy,,0.086078,0.00662,
1.901806,,9,energy,,0.0,0.011099,
1.901806,,13,energy,,0.086076,0.011081,
1.901806,,19,energy,,0.0,0.006853,
1.901806,,8,energy,,0.0,0.009003,
1.901806,,11,energy,,0.059597,0.008828,
1.901806,,21,energy,,0.0,0.008829,
1.901806,,10,energy,,0.0,0.013265,
1.901806,,20,energy,,0.0,0.012441,
1.901806,,7,energy,,0.086078,0.013832,
1.901806,,3,energy,,0.044139,0.060378,
1.901902,,16,energy,,0.039824,0.011095,
1.911543,8,,mac_reception,,,,
1.918206,3,,mac_reception,,,,
1.921538,11,,mac_reception,,,,
1.939135,10,,rpl,,,,
1.943624,10,,mac_reception,,,,
1.958111,19,,mac_reception,,,,
1.964786,14,,mac_reception,,,,
1.96654,18,,rpl,,,,
1.970971,18,,mac_reception,,,,
1.999316,,15,energy,,0.0,0.013242,
1.999316,,11,energy,,0.059597,0.011034,
1.999316,,20,energy,,0.0,0.012441,
1.999316,,13,energy,,0.086076,0.011081,
1.999316,,6,energy,,0.0,0.017735,
1.999316,,21,energy,,0.0,0.008829,
1.999316,,3,energy,,0.044139,0.062585,
1.999316,,17,energy,,0.0,0.015291,
1.999316,,2,energy,,0.0,0.013315,
1.999316,,10,energy,,0.0,0.01696,
1.999316,,8,energy,,0.0,0.01121,
1.999316,,5,energy,,0.0,0.013249,
1.999316,,19,energy,,0.0,0.00906,
1.999316,,9,energy,,0.0,0.011099,
1.999316,,1,energy,,0.0,0.452458,
1.999316,,7,energy,,0.086078,0.013832,
1.999316,,16,energy,,0.086077,0.011095,
1.999316,,14,energy,,0.086078,0.008828,
1.999734,,4,energy,,0.0,0.013244,
1.999831,,12,energy,,0.0,0.015448,
1.999868,,18,energy,,0.004413,0.01324,
2.000042,1,,mac_reception,,,,
2.003553,12,,mac_reception,,,,
2.007907,4,,rpl,,,,
2.012376,4,,mac_reception,,,,
2.015849,21,,rpl,,,,
2.020142,20,,mac_reception,,,,
2.020371,21,,mac_reception,,,,
2.02346,9,,mac_reception,,,,
2.023467,7,,mac_reception,,,,
2.036785,8,,mac_reception,,,,
2.046775,3,,mac_reception,,,,
2.046791,11,,mac_reception,,,,
2.066764,10,,mac_reception,,,,
2.076705,16,,mac_reception,,,,
2.083387,19,,mac_reception,,,,
2.090016,14,,mac_reception,,,,
2.102436,,12,energy,,0.0,0.015448,
2.102436,,16,energy,,0.086077,0.013303,
2.102436,,1,energy,,0.0,0.520882,
2.102436,,20,energy,,0.0,0.014649,
2.102436,,7,energy,,0.086078,0.016039,
2.102436,,14,energy,,0.086078,0.011036,
2.102436,,2,energy,,0.0,0.015523,
2.102436,,11,energy,,0.059597,0.013241,
2.102436,,15,energy,,0.0,0.013242,
2.102436,,3,energy,,0.044139,0.064792,
2.102436,,19,energy,,0.0,0.011267,
2.102436,,21,energy,,0.0,0.013245,
2.102436,,10,energy,,0.0,0.019167,
2.102436,,6,energy,,0.0,0.017735,
2.102436,,17,energy,,0.0,0.015291,
2.102436,,4,energy,,0.0,0.017015,
2.102436,,9,energy,,0.0,0.013306,
2.102436,,8,energy,,0.0,0.013418,
2.10289,,5,energy,,0.0,0.015456,
2.103117,,13,energy,,0.086076,0.011081,
2.103331,,18,energy,,0.072837,0.01324,
2.103347,2,,mac_reception,,,,
2.106639,5,,mac_reception,,,,
2.108166,15,,rpl,,,,
2.112638,15,,mac_reception,,,,
2.113314,13,,mac_reception,,,,
2.116594,6,,mac_reception,,,,
2.126608,17,,mac_reception,,,,
2.141292,1,,mac_reception,,,,
2.144745,20,,mac_reception,,,,
2.148626,9,,rpl,,,,
2.151379,7,,mac_reception,,,,
2.153096,9,,mac_reception,,,,
2.161386,8,,mac_reception,,,,
2.17135,3,,mac_reception,,,,
2.171353,11,,mac_reception,,,,
2.191351,10,,mac_reception,,,,
2.198215,,5,energy,,0.0,0.015456,
2.198215,,12,energy,,0.0,0.017656,
2.198215,,14,energy,,0.086078,0.011036,
2.198215,,21,energy,,0.0,0.01336,
2.198215,,6,energy,,0.0,0.02215,
2.198215,,10,energy,,0.0,0.02178,
2.198215,,18,energy,,0.086082,0.01324,
