time,mote_id,message,message_type,source,destination
53.11894,8,H8,data,11,
53.126424,8,H24,data,12,
53.133419,8,H7,data,1,
53.140966,8,H25,data,14,
53.35915,8,H24,data,6,
53.574541,8,H24,data,2,
53.81478,8,H8,data,5,
53.849663,8,H8,data,9,
54.09002,8,H8,data,7,
54.430592,8,H25,data,10,
54.455836,8,H9,data,13,
54.463343,8,H25,data,12,
54.470548,8,H24,data,4,
54.477643,8,H8,data,3,
54.821171,8,H26,data,14,
54.936404,8,H8,data,1,
55.045941,8,H9,data,15,
55.30223,8,H9,data,11,
55.30958,8,H25,data,6,
55.536382,8,H25,data,2,
55.667572,8,H9,data,9,
55.674876,8,H9,data,7,
55.776783,8,H9,data,5,
55.908224,8,H26,data,12,
56.382915,8,H26,data,10,
56.398661,8,H25,data,4,
56.4063,8,H10,data,13,
56.413285,8,H9,data,3,
56.514104,8,H10,data,11,
56.748527,8,H10,data,15,
57.012551,8,H27,data,14,
57.019211,8,H9,data,1,
57.026614,8,H26,data,6,
58.120027,8,H10,data,9,
58.127519,8,H10,data,7,
58.135053,8,H11,data,13,
58.142347,8,H27,data,12,
58.485523,8,H10,data,3,
58.726156,8,H11,data,11,
58.7395,8,H26,data,2,
58.746464,8,H10,data,5,
58.754049,8,H27,data,10,
58.761459,8,H11,data,15,
58.966677,8,H10,data,1,
58.974147,8,H26,data,4,
58.981634,8,H28,data,14,
59.332075,8,H27,data,6,
59.572505,8,H11,data,9,
59.687932,8,H11,data,7,
59.729384,8,H27,data,2,
59.928608,8,H28,data,12,
60.094767,8,H11,data,5,
60.592864,8,H28,data,10,
60.676456,8,H11,data,3,
61.166879,8,H11,data,1,
61.525183,8,H12,data,13,
61.5325,8,H27,data,4,
61.554575,8,H29,data,14,
61.76566,8,H12,data,11,
61.780239,8,H28,data,6,
61.825855,8,H28,data,2,
61.833537,8,H12,data,15,
61.8555,8,H12,data,5,
62.506051,8,H12,data,9,
62.521067,8,H13,data,13,
62.528353,8,H28,data,4,
62.535716,8,H12,data,3,
62.691587,8,H29,data,10,
62.698995,8,H13,data,15,
62.871446,8,H12,data,1,
63.362069,8,H30,data,14,
63.377005,8,H12,data,7,
63.391373,8,H29,data,12,
63.406378,8,H13,data,11,
63.413039,8,H29,data,6,
63.556899,8,H29,data,2,
63.56422,8,H13,data,5,
63.727314,8,H13,data,7,
64.467867,8,H13,data,9,
64.475535,8,H14,data,13,
64.482862,8,H30,data,12,
64.490142,8,H29,data,4,
64.497509,8,H13,data,3,
64.833351,8,H31,data,14,
65.073856,8,H13,data,1,
65.081485,8,H14,data,11,
65.088672,8,H30,data,6,
65.422471,8,H30,data,10,
65.429793,8,H14,data,15,
65.537646,8,H30,data,2,
65.564332,8,H14,data,9,
65.679707,8,H14,data,7,
65.785501,8,H14,data,5,
65.920434,8,H31,data,12,
66.160777,8,H15,data,13,
66.276164,8,H30,data,4,
66.393966,8,H31,data,10,
66.632007,8,H14,data,3,
66.872483,8,H14,data,1,
67.238492,8,H32,data,14,
67.246059,8,H15,data,11,
67.253175,8,H31,data,6,
67.509184,8,H31,data,2,
67.978857,8,H15,data,9,
67.986467,8,H15,data,7,
67.993878,8,H32,data,12,
68.124988,8,H15,data,15,
68.132068,8,H15,data,5,
68.219314,8,H16,data,13,
68.459522,8,H15,data,3,
68.575214,8,H16,data,11,
68.869297,8,H32,data,10,
68.876614,8,H16,data,15,
69.065809,8,H31,data,4,
69.080885,8,H15,data,1,
69.087599,8,H32,data,6,
69.181294,8,H33,data,14,
69.546618,8,H16,data,9,
69.984751,8,H32,data,2,
69.993785,8,H16,data,5,
70.412265,8,H16,data,7,
70.419895,8,H33,data,12,
70.427298,8,H32,data,4,
70.442528,8,H17,data,13,
70.44934,8,H16,data,3,
70.857773,8,H33,data,10,
70.868813,8,H17,data,15,
71.150594,8,H16,data,1,
71.15812,8,H17,data,11,
71.179849,8,H33,data,6,
71.187457,8,H34,data,14,
71.706412,8,H33,data,2,
71.713923,8,H17,data,5,
71.99918,8,H17,data,9,
72.013933,8,H17,data,7,
72.615023,8,H18,data,13,
72.622586,8,H34,data,12,
72.629764,8,H33,data,4,
72.704295,8,H34,data,10,
72.812396,8,H18,data,15,
73.55263,8,H34,data,2,
73.793199,8,H18,data,5,
74.533919,8,H35,data,10,
74.541316,8,H19,data,15,
74.980616,8,H17,data,3,
74.988233,8,H18,data,11,
74.995418,8,H17,data,1,
75.00279,8,H34,data,6,
75.010331,8,H35,data,14,
75.017562,8,H18,data,9,
75.024923,8,H18,data,7,
75.032333,8,H19,data,13,
75.524193,8,H35,data,2,
75.595966,8,H19,data,9,
75.764691,8,H19,data,5,
76.086379,8,H19,data,7,
76.451874,8,H35,data,4,
76.459543,8,H36,data,12,
76.466712,8,H19,data,3,
76.567425,8,H20,data,11,
76.630374,8,H36,data,10,
76.637783,8,H20,data,15,
77.058178,8,H20,data,13,
77.065671,8,H37,data,14,
77.072885,8,H19,data,1,
77.080173,8,H36,data,6,
77.49567,8,H36,data,2,
77.548491,8,H20,data,9,
77.663876,8,H20,data,7,
77.904465,8,H21,data,13,
78.019975,8,H37,data,12,
78.111159,8,H20,data,5,
78.26041,8,H36,data,4,
78.625798,8,H20,data,3,
78.633376,8,H21,data,11,
78.97678,8,H37,data,10,
78.984174,8,H21,data,15,
79.116548,8,H38,data,14,
79.123789,8,H20,data,1,
79.131084,8,H37,data,6,
79.592015,8,H37,data,2,
79.606759,8,H21,data,9,
79.833141,8,H21,data,5,
80.097426,8,H21,data,7,
80.104951,8,H22,data,13,
80.11225,8,H38,data,12,
80.323272,8,H38,data,10,
80.57113,8,H22,data,15,
80.595167,8,H21,data,3,
80.953252,8,H21,data,1,
81.326373,8,H22,data,11,
81.333642,8,H38,data,6,
81.348456,8,H37,data,4,
81.363532,8,H39,data,14,
81.55398,8,H38,data,2,
81.824086,8,H22,data,9,
81.831501,8,H22,data,7,
81.924734,8,H23,data,13,
82.165132,8,H39,data,12,
82.280459,8,H38,data,4,
82.395888,8,H22,data,3,
82.636593,8,H23,data,11,
82.752038,8,H40,data,14,
82.802025,8,H22,data,5,
82.816992,8,H39,data,10,
82.824442,8,H23,data,15,
83.11752,8,H22,data,1,
83.124913,8,H39,data,6,
83.535075,8,H39,data,2,
84.900572,8,H23,data,5,
84.908229,8,H40,data,10,
84.915483,8,H24,data,15,
84.982976,8,H23,data,9,
84.990446,8,H23,data,7,
84.998028,8,H40,data,12,
85.005491,8,H24,data,13,
85.012764,8,H39,data,4,
85.02021,8,H23,data,3,
85.027899,8,H24,data,11,
85.03529,8,H41,data,14,
85.515919,8,H40,data,2,
85.598339,8,H24,data,9,
85.881431,8,H24,data,5,
86.214071,8,H24,data,7,
86.221645,8,H25,data,13,
86.228962,8,H41,data,12,
86.372276,8,H41,data,10,
86.454436,8,H24,data,3,
86.737856,8,H25,data,15,
86.944773,8,H24,data,1,
87.435424,8,H25,data,11,
87.442876,8,H41,data,6,
87.450276,8,H40,data,4,
87.457779,8,H42,data,14,
87.55075,8,H25,data,9,
87.666223,8,H25,data,7,
87.78172,8,H42,data,12,
87.978172,8,H41,data,2,
88.147297,8,H26,data,13,
88.262608,8,H41,data,4,
88.378112,8,H25,data,3,
88.618826,8,H26,data,11,
88.718722,8,H25,data,5,
88.726208,8,H42,data,10,
88.859246,8,H25,data,1,
88.95924,8,H26,data,15,
89.099719,8,H42,data,6,
89.340335,8,H43,data,14,
89.5746,8,H42,data,2,
89.830906,8,H26,data,9,
89.838235,8,H26,data,7,
89.940135,8,H26,data,5,
90.196447,8,H27,data,13,
90.203813,8,H43,data,12,
90.311633,8,H42,data,4,
90.563226,8,H43,data,10,
90.677336,8,H26,data,3,
90.917764,8,H26,data,1,
91.171243,8,H27,data,15,
91.290852,8,H44,data,14,
91.529359,8,H43,data,2,
91.906186,8,H27,data,9,
91.920893,8,H27,data,11,
91.94289,8,H43,data,6,
91.950273,8,H27,data,7,
92.020749,8,H27,data,5,
92.510697,8,H44,data,10,
92.76432,8,H43,data,4,
92.771947,8,H44,data,12,
92.779217,8,H27,data,3,
92.786791,8,H28,data,11,
92.794175,8,H45,data,14,
92.879715,8,H27,data,1,
92.887205,8,H44,data,6,
93.126187,8,H28,data,15,
94.116535,8,H44,data,2,
94.126402,8,H28,data,5,
94.982187,8,H45,data,10,
94.989697,8,H29,data,15,
95.245334,8,H28,data,9,
95.252731,8,H28,data,7,
95.260265,8,H29,data,13,
95.26763,8,H45,data,12,
95.274841,8,H44,data,4,
95.282159,8,H28,data,3,
95.289746,8,H29,data,11,
95.297032,8,H46,data,14,
95.597564,8,H45,data,2,
95.610698,8,H29,data,9,
95.713009,8,H29,data,5,
96.726139,8,H29,data,7,
96.734671,8,H30,data,13,
96.742102,8,H46,data,12,
96.749243,8,H45,data,4,
96.756607,8,H29,data,3,
96.76409,8,H30,data,11,
96.828677,8,H46,data,10,
96.836042,8,H30,data,15,
96.966622,8,H29,data,1,
96.974194,8,H47,data,14,
97.33208,8,H46,data,6,
97.568958,8,H46,data,2,
97.809388,8,H30,data,5,
97.822729,8,H30,data,9,
97.830058,8,H30,data,7,
97.938064,8,H31,data,13,
98.053563,8,H47,data,12,
98.293936,8,H46,data,4,
98.409537,8,H30,data,3,
98.52516,8,H31,data,11,
98.765633,8,H48,data,14,
98.88101,8,H30,data,1,
98.888494,8,H47,data,6,
99.300266,8,H47,data,10,
99.307688,8,H31,data,15,
99.540358,8,H47,data,2,
99.746613,8,H31,data,9,
99.754073,8,H31,data,7,
99.780916,8,H31,data,5,
100.237459,8,H32,data,13,
100.24477,8,H48,data,12,
100.778969,8,H48,data,10,
100.786392,8,H32,data,15,
100.96816,8,H31,data,3,
100.975573,8,H31,data,1,
100.990699,8,H32,data,11,
101.005374,8,H48,data,6,
101.333495,8,H47,data,4,
101.348533,8,H49,data,14,
101.511857,8,H48,data,2,
101.949136,8,H32,data,9,
101.963982,8,H32,data,7,
101.97142,8,H49,data,12,
102.259798,8,H32,data,5,
102.314479,8,H48,data,4,
102.429832,8,H32,data,3,
102.545446,8,H33,data,11,
102.660872,8,H33,data,13,
102.776404,8,H50,data,14,
102.891901,8,H32,data,1,
102.899209,8,H49,data,6,
103.118031,8,H49,data,10,
103.12544,8,H33,data,15,
103.507281,8,H33,data,9,
103.735811,8,H49,data,2,
103.747751,8,H33,data,7,
104.476469,8,H33,data,5,
104.73862,8,H34,data,13,
104.746094,8,H50,data,12,
104.753364,8,H49,data,4,
104.760621,8,H33,data,3,
105.092101,8,H50,data,10,
105.099475,8,H34,data,15,
105.356314,8,H33,data,1,
105.582412,8,H50,data,2,
105.597186,8,H34,data,11,
105.604353,8,H50,data,6,
105.822907,8,H34,data,5,
106.212627,8,H51,data,14,
106.219803,8,H34,data,9,
106.227163,8,H34,data,7,
106.236417,8,H35,data,13,
106.243733,8,H51,data,12,
106.438469,8,H51,data,10,
106.452815,8,H34,data,3,
106.568253,8,H35,data,11,
107.053915,8,H35,data,15,
107.308851,8,H50,data,4,
107.31648,8,H52,data,14,
107.32375,8,H34,data,1,
107.331084,8,H51,data,6,
107.544209,8,H51,data,2,
107.784659,8,H35,data,5,
107.799348,8,H35,data,9,
107.806654,8,H35,data,7,
107.922608,8,H36,data,13,
108.030156,8,H52,data,12,
108.270492,8,H51,data,4,
108.386095,8,H35,data,3,
108.775389,8,H52,data,10,
108.884694,8,H53,data,14,
108.891173,8,H35,data,1,
109.242291,8,H36,data,11,
109.249506,8,H52,data,6,
109.273405,8,H36,data,15,
109.505962,8,H52,data,2,
109.872034,8,H36,data,5,
110.10767,8,H36,data,9,
110.115113,8,H36,data,7,
110.122693,8,H37,data,13,
110.130057,8,H53,data,12,
110.347991,8,H52,data,4,
110.745548,8,H53,data,10,
110.753009,8,H37,data,15,
110.846086,8,H36,data,3,
110.853593,8,H37,data,11,
110.954042,8,H36,data,1,
111.319557,8,H53,data,6,
111.596434,8,H53,data,2,
111.603938,8,H37,data,5,
112.200061,8,H54,data,14,
112.222146,8,H37,data,9,
112.237035,8,H38,data,13,
