time,energy,estimation,difference
0.0,0.0,0.0,0.0
0.0,-5.16917380484e-07,0.0,-1.0
0.289615,-4.87750740043e-07,-5.1691738048353334e-07,-0.059798249486379927
0.289615,-4.87750740043e-07,-4.8775074004326003e-07,-0.0
0.289615,-4.87750740043e-07,-4.8775074004326003e-07,-0.0
0.289615,-4.87750740043e-07,-4.8775074004326003e-07,-0.0
0.289615,-4.87750740043e-07,-4.8775074004326003e-07,-0.0
0.55042,-4.61496093281e-07,-4.8775074004326003e-07,-0.056890290393957321
0.55042,-4.61496093281e-07,-4.6149609328083643e-07,-0.0
0.55042,-4.61496093281e-07,-4.6149609328083643e-07,-0.0
1.050451,-4.11187118163e-07,-4.6149609328083643e-07,-0.12235056229983994
1.050451,-4.11187118163e-07,-4.111871181631271e-07,-0.0
1.050451,-4.11187118163e-07,-4.111871181631271e-07,-0.0
1.050451,-4.11187118163e-07,-4.111871181631271e-07,-0.0
2.300453,-2.85582803722e-07,-4.111871181631271e-07,-0.4398174988292044
2.300453,-2.85582803722e-07,-2.8558280372164263e-07,-0.0
2.300453,-2.85582803722e-07,-2.8558280372164263e-07,-0.0
4.300453,-8.50902823511e-08,-2.8558280372164263e-07,-2.3562328838378006
6.300453,1.14823821261e-07,-8.5090282351051607e-08,1.7410507803714113
6.550451,1.39772501567e-07,1.1482382126148594e-07,0.17849491155801964
8.300451,3.14165068717e-07,1.3977250156691572e-07,0.555098527860173
8.550454,3.39043070036e-07,3.1416506871657856e-07,0.073377111990214836
9.050451,3.88771648971e-07,3.390430700361256e-07,0.12791205085759191
9.050451,3.88771648971e-07,3.8877164897133715e-07,0.0
9.050451,3.88771648971e-07,3.8877164897133715e-07,0.0
10.050451,4.88123605773e-07,3.8877164897133715e-07,0.20353852103547176
10.050451,4.88123605773e-07,4.8812360577284335e-07,0.0
10.300451,5.1293961935e-07,4.8812360577284335e-07,0.048379989848652522
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.300451,5.1293961935e-07,5.1293961934996641e-07,0.0
10.550453,5.37747063603e-07,5.1293961934996641e-07,0.046132179852529917
10.550453,5.37747063603e-07,5.3774706360328291e-07,0.0
10.783166,5.60831068512e-07,5.3774706360328291e-07,0.041160353277401508
10.797295,5.62232352913e-07,5.6083106851218709e-07,0.0024923581741516259
10.803127,5.6281075022e-07,5.6223235291274167e-07,0.0010276941344165922
10.805085,5.63004936726e-07,5.6281075021952888e-07,0.00034491084071766647
10.805085,5.63004936726e-07,5.630049367255831e-07,0.0
10.805085,5.63004936726e-07,5.630049367255831e-07,0.0
10.805085,5.63004936726e-07,5.630049367255831e-07,0.0
10.805085,5.63004936726e-07,5.630049367255831e-07,0.0
10.805085,5.63004936726e-07,5.630049367255831e-07,0.0
11.050453,5.87335296889e-07,5.630049367255831e-07,0.041424992321026401
11.207897,6.02942799749e-07,5.8733529688908104e-07,0.025885544808464004
11.247855,6.06903305575e-07,6.0294279974892251e-07,0.0065257608410292829
11.252311,6.07344955856e-07,6.0690330557473333e-07,0.00072718193670639098
12.300453,7.11153232127e-07,6.0734495585598154e-07,0.14597174220912776
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
12.300453,7.11153232127e-07,7.1115323212724821e-07,0.0
13.050451,7.85339572697e-07,7.1115323212724821e-07,0.094464029508394803
13.300451,8.10051115898e-07,7.8533957269656686e-07,0.030506152903356707
13.805086,8.59906066144e-07,8.1005111589767609e-07,0.057977204963345186
14.300451,9.08811073902e-07,8.5990606614371407e-07,0.053812072896618476
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.300451,9.08811073902e-07,9.0881107390177025e-07,0.0
14.542023,9.3264808151e-07,9.0881107390177025e-07,0.025558415955963403
15.25077,1.00253719372e-06,9.3264808150952187e-07,0.069712238752724254
16.050454,1.08131110148e-06,1.0025371937163631e-06,0.072850364392384848
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.050454,1.08131110148e-06,1.0813111014807681e-06,0.0
16.300453,1.10591969597e-06,1.0813111014807681e-06,0.022251701077304131
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.300453,1.10591969597e-06,1.1059196959710183e-06,0.0
16.555624,1.13102863201e-06,1.1059196959710183e-06,0.022200088779717755
16.555624,1.13102863201e-06,1.1310286320141348e-06,0.0
16.555624,1.13102863201e-06,1.1310286320141348e-06,0.0
16.555624,1.13102863201e-06,1.1310286320141348e-06,0.0
16.555624,1.13102863201e-06,1.1310286320141348e-06,0.0
17.050454,1.17969493182e-06,1.1310286320141348e-06,0.041253292267692192
17.050454,1.17969493182e-06,1.1796949318233591e-06,0.0
17.300454,1.20426970138e-06,1.1796949318233591e-06,0.020406367049313062
17.800453,1.25339379539e-06,1.2042697013760044e-06,0.039192865156088462
17.800453,1.25339379539e-06,1.2533937953860477e-06,0.0
17.800453,1.25339379539e-06,1.2533937953860477e-06,0.0
17.800453,1.25339379539e-06,1.2533937953860477e-06,0.0
17.800453,1.25339379539e-06,1.2533937953860477e-06,0.0
17.800453,1.25339379539e-06,1.2533937953860477e-06,0.0
18.300451,1.30248407055e-06,1.2533937953860477e-06,0.037689731702003605
18.300451,1.30248407055e-06,1.3024840705512582e-06,0.0
18.300451,1.30248407055e-06,1.3024840705512582e-06,0.0
18.300451,1.30248407055e-06,1.3024840705512582e-06,0.0
18.300451,1.30248407055e-06,1.3024840705512582e-06,0.0
18.550453,1.32701688539e-06,1.3024840705512582e-06,0.018487191165814355
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.550453,1.32701688539e-06,1.3270168853917592e-06,0.0
18.793587,1.35086768628e-06,1.3270168853917592e-06,0.017655911924652358
18.80032,1.35152806283e-06,1.3508676862826241e-06,0.00048861474881721045
18.806214,1.35210614477e-06,1.351528062827562e-06,0.00042754183768430796
19.050451,1.37605674828e-06,1.3521061447734427e-06,0.017405244031889259
19.050451,1.37605674828e-06,1.3760567482789661e-06,0.0
19.050451,1.37605674828e-06,1.3760567482789661e-06,0.0
19.550451,1.42506331159e-06,1.3760567482789661e-06,0.034389042864976453
20.050454,1.47403676284e-06,1.4250633115864167e-06,0.033224036526272378
20.050454,1.47403676284e-06,1.4740367628359465e-06,0.0
20.300453,1.49851074457e-06,1.4740367628359465e-06,0.016332203034849231
20.300453,1.49851074457e-06,1.4985107445661032e-06,0.0
20.300453,1.49851074457e-06,1.4985107445661032e-06,0.0
20.300453,1.49851074457e-06,1.4985107445661032e-06,0.0
