bin_start,dao_tx,dio_tx,dis_tx,mac_tx,ratio_dao,ratio_dis,ratio_dio
0.0,0.013568,0.0768,0.058656,0.020416,0.664576802507837,2.873040752351097,3.7617554858934166
25.0,0.027136,0.1536,,0.070912,0.38267148014440433,,2.166064981949458
50.0,0.006784,0.0768,,0.038912,0.17434210526315788,,1.9736842105263155
75.0,0.006784,,,0.064384,0.10536779324055667,,
100.0,,,,0.098304,,,
125.0,0.013568,0.0768,,0.046720000000000005,0.29041095890410956,,1.6438356164383559
150.0,,,,0.05964799999999999,,,
175.0,,,,0.07065600000000001,,,
