dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,2.055835
,0.0768,,,,,9.668629
,,,0.036864,32.0,36.0,11.149859
0.006784,,,,,,11.75308
,,,0.006784,53.0,4.0,11.900514
0.006784,,,,,,11.900514
,,,0.004096,32.0,4.0,13.14792
,0.0768,,,,,15.207689
,,,0.006784,53.0,4.0,15.898682
0.006784,,,,,,15.898682
,,,0.00512,32.0,5.0,16.273743
,,,0.001696,53.0,1.0,16.325287
0.006784,,,,,,16.325287
,,,0.00512,32.0,5.0,17.274475
0.006784,,,,,,17.721688
,,,0.006784,53.0,4.0,17.775239
0.006784,,,,,,17.775239
,,,0.006784,53.0,4.0,19.150331
0.006784,,,,,,19.150331
,,,0.001024,32.0,1.0,19.201064
,,,0.005248,41.0,4.0,20.898956
,,,0.00512,32.0,5.0,21.274431
,,,0.006784,53.0,4.0,22.525147
0.006784,,,,,,22.525147
,,,0.006784,53.0,4.0,23.275239
0.006784,,,,,,23.275239
,,,0.001312,41.0,1.0,23.326385
,,,0.001024,32.0,1.0,23.373355
,,,0.005248,41.0,4.0,23.898876
,,,0.004096,32.0,4.0,25.646656
,,,0.001312,41.0,1.0,25.697785
,,,0.00656,41.0,5.0,26.023895
,,,0.004096,32.0,4.0,27.271668
,,,0.00656,41.0,5.0,27.773926
,,,0.001312,41.0,1.0,27.825013
,,,0.006784,53.0,4.0,28.649384
0.006784,,,,,,28.649384
,,,0.005248,41.0,4.0,28.898011
,,,0.00512,32.0,5.0,29.148438
,,,0.006784,53.0,4.0,30.774201
0.006784,,,,,,30.774201
,,,0.005248,41.0,4.0,31.022858
,,,0.005248,41.0,4.0,31.64685
,,,0.001312,41.0,1.0,31.697906
,,,0.00656,41.0,5.0,32.148803
,,,0.001024,32.0,1.0,32.199524
,,,0.005248,41.0,4.0,32.772797
,,,0.00656,41.0,5.0,33.024751
,,,0.004096,32.0,4.0,33.147523
,0.0768,,,,,33.935065
,,,0.00656,41.0,5.0,34.39978
,,,0.001312,41.0,1.0,34.450836
,,,0.005248,41.0,4.0,34.773774
,,,0.004096,32.0,4.0,35.146546
0.006784,,,,,,35.71388
,,,0.006784,53.0,4.0,35.772309
0.006784,,,,,,35.772309
,,,0.00656,41.0,5.0,36.273896
,,,0.001312,41.0,1.0,36.325013
,,,0.005248,41.0,4.0,36.897906
,,,0.00512,32.0,5.0,37.148323
,,,0.001312,41.0,1.0,37.199432
,,,0.00656,41.0,5.0,38.025605
,,,0.006784,53.0,4.0,39.276062
0.006784,,,,,,39.276062
,,,0.005248,41.0,4.0,39.649689
,,,0.005248,41.0,4.0,40.023681
,,,0.001024,32.0,1.0,40.074402
,,,0.005248,41.0,4.0,40.522675
,,,0.001696,53.0,1.0,40.574189
0.006784,,,,,,40.574189
,,,0.00512,32.0,5.0,41.273102
,,,0.00512,32.0,5.0,43.148835
,,,0.006784,53.0,4.0,44.774598
0.006784,,,,,,44.774598
,,,0.001312,41.0,1.0,44.825836
,,,0.001312,41.0,1.0,44.873108
,,,0.006784,53.0,4.0,45.274689
0.006784,,,,,,45.274689
,,,0.001312,41.0,1.0,45.325836
,,,0.001024,32.0,1.0,45.372804
,,,0.005248,41.0,4.0,45.898323
,,,0.001312,41.0,1.0,45.949432
,,,0.00656,41.0,5.0,46.525269
