Voting system;Criterion;Result;Number of populations;V;C;Culture type;Culture parameter 1;Culture parameter 1 value;Culture parameter 2;Culture parameter 2 value;Culture parameter 3;Culture parameter 3 value;Culture parameter 4;Culture parameter 4 value
Majority Judgment;mean_u_min;-0,115305;10000;33,000000;5,000000;Spheroid;Stretching;1
Majority Judgment;mean_u_mean;0,080069;10000;33,000000;5,000000;Spheroid;Stretching;1
Majority Judgment;mean_u_std;0,057603;10000;33,000000;5,000000;Spheroid;Stretching;1
Maximin;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Maximin;mean_u_min;-0,103762;10000;33,000000;5,000000;Spheroid;Stretching;1
Maximin;mean_u_mean;0,079743;10000;33,000000;5,000000;Spheroid;Stretching;1
Maximin;mean_u_std;0,057485;10000;33,000000;5,000000;Spheroid;Stretching;1
Nanson;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Nanson;mean_u_min;-0,118828;10000;33,000000;5,000000;Spheroid;Stretching;1
Nanson;mean_u_mean;0,078559;10000;33,000000;5,000000;Spheroid;Stretching;1
Nanson;mean_u_std;0,058000;10000;33,000000;5,000000;Spheroid;Stretching;1
Plurality;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Plurality;mean_u_min;-0,200285;10000;33,000000;5,000000;Spheroid;Stretching;1
Plurality;mean_u_mean;0,064360;10000;33,000000;5,000000;Spheroid;Stretching;1
Plurality;mean_u_std;0,065810;10000;33,000000;5,000000;Spheroid;Stretching;1
Range voting with average;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Range voting with average;mean_u_min;-0,089320;10000;33,000000;5,000000;Spheroid;Stretching;1
Range voting with average;mean_u_mean;0,089197;10000;33,000000;5,000000;Spheroid;Stretching;1
Range voting with average;mean_u_std;0,052332;10000;33,000000;5,000000;Spheroid;Stretching;1
Ranked Pairs;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Ranked Pairs;mean_u_min;-0,103762;10000;33,000000;5,000000;Spheroid;Stretching;1
Ranked Pairs;mean_u_mean;0,079909;10000;33,000000;5,000000;Spheroid;Stretching;1
Ranked Pairs;mean_u_std;0,057197;10000;33,000000;5,000000;Spheroid;Stretching;1
Schulze;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Schulze;mean_u_min;-0,103762;10000;33,000000;5,000000;Spheroid;Stretching;1
Schulze;mean_u_mean;0,079915;10000;33,000000;5,000000;Spheroid;Stretching;1
Schulze;mean_u_std;0,057287;10000;33,000000;5,000000;Spheroid;Stretching;1
Two Round;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Two Round;mean_u_min;-0,153708;10000;33,000000;5,000000;Spheroid;Stretching;1
Two Round;mean_u_mean;0,073379;10000;33,000000;5,000000;Spheroid;Stretching;1
Two Round;mean_u_std;0,061716;10000;33,000000;5,000000;Spheroid;Stretching;1
Veto;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Veto;mean_u_min;-0,182766;10000;33,000000;5,000000;Spheroid;Stretching;1
Veto;mean_u_mean;0,058631;10000;33,000000;5,000000;Spheroid;Stretching;1
Veto;mean_u_std;0,067233;10000;33,000000;5,000000;Spheroid;Stretching;1
ICRV;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
ICRV;mean_u_min;-0,147420;10000;33,000000;5,000000;Spheroid;Stretching;1
ICRV;mean_u_mean;0,077208;10000;33,000000;5,000000;Spheroid;Stretching;1
ICRV;mean_u_std;0,059372;10000;33,000000;5,000000;Spheroid;Stretching;1
Exhaustive Ballot;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Exhaustive Ballot;mean_u_min;-0,147420;10000;33,000000;5,000000;Spheroid;Stretching;1
Exhaustive Ballot;mean_u_mean;0,074886;10000;33,000000;5,000000;Spheroid;Stretching;1
Exhaustive Ballot;mean_u_std;0,060680;10000;33,000000;5,000000;Spheroid;Stretching;1
IRV;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
IRV;mean_u_min;-0,147420;10000;33,000000;5,000000;Spheroid;Stretching;1
IRV;mean_u_mean;0,074886;10000;33,000000;5,000000;Spheroid;Stretching;1
IRV;mean_u_std;0,060680;10000;33,000000;5,000000;Spheroid;Stretching;1
Absolute-Condorcet IRV;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
Absolute-Condorcet IRV;mean_u_min;-0,147420;10000;33,000000;5,000000;Spheroid;Stretching;1
Absolute-Condorcet IRV;mean_u_mean;0,077297;10000;33,000000;5,000000;Spheroid;Stretching;1
Absolute-Condorcet IRV;mean_u_std;0,059359;10000;33,000000;5,000000;Spheroid;Stretching;1
VTB-Condorcet IRV;mean_u_max;0,299677;10000;33,000000;5,000000;Spheroid;Stretching;1
VTB-Condorcet IRV;mean_u_min;-0,147420;10000;33,000000;5,000000;Spheroid;Stretching;1
VTB-Condorcet IRV;mean_u_mean;0,077297;10000;33,000000;5,000000;Spheroid;Stretching;1
VTB-Condorcet IRV;mean_u_std;0,059359;10000;33,000000;5,000000;Spheroid;Stretching;1
