frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
12.416000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
12.419000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
13.911000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
13.925000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
13.927000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
13.934000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
13.937000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
13.941000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
13.946000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
13.967000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
13.975000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
15.238000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
15.239000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
15.240000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
15.241000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
15.262000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
15.263000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
15.270000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
15.308000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
15.327000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
