bin_start,total,udp,rpl,forwarding
0.0,259465,59662,198478.0,15306.0
25.0,209991,138736,69305.0,40712.0
50.0,262024,184705,74169.0,63427.0
75.0,196119,183709,9620.0,60347.0
100.0,256683,199555,54223.0,75662.0
125.0,216809,167256,37058.0,71404.0
150.0,201383,188334,5114.0,68257.0
175.0,207898,188000,14528.0,64494.0
200.0,55,55,,
