mote_id,monitored_time,tx_time,rx_time,on_time,int_time
2,0.371953,0.0,0.0,0.0,0.0
2,0.371953,0.0,0.0,0.0,0.0
2,0.371953,0.0,0.0,0.0,0.0
6,0.386489,0.0,0.0,0.0,0.0
2,0.371953,0.0,0.0,0.0,0.0
6,0.386489,0.0,0.0,0.0,0.0
2,0.371953,0.0,0.0,0.0,0.0
6,0.386489,0.0,0.0,0.0,0.0
2,0.371953,0.0,0.0,0.0,0.0
4,0.484191,0.0,0.0,0.0,0.0
6,0.386489,0.0,0.0,0.0,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,0.760906,0.0,0.0,0.001596,0.0
4,0.623144,0.0,0.0,0.000798,0.0
6,0.775442,0.0,0.0,0.001596,0.0
7,0.676556,0.0,0.0,0.000798,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,0.760906,0.0,0.0,0.001596,0.0
4,0.623144,0.0,0.0,0.000798,0.0
5,0.850944,0.0,0.0,0.0,0.0
6,0.775442,0.0,0.0,0.001596,0.0
7,0.676556,0.0,0.0,0.000798,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,0.760906,0.0,0.0,0.001596,0.0
4,0.87177,0.0,0.0,0.000798,0.0
5,0.850944,0.0,0.0,0.0,0.0
6,0.775442,0.0,0.0,0.001596,0.0
7,0.676556,0.0,0.0,0.000798,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.010906,0.0,0.0,0.003192,0.0
4,0.998144,0.0,0.0,0.002394,0.0
5,0.989897,0.0,0.0,0.000798,0.0
6,1.025442,0.0,0.0,0.003192,0.0
7,0.926556,0.0,0.0,0.001596,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.010906,0.0,0.0,0.003192,0.0
3,1.035173,0.0,0.0,0.0,0.0
4,0.998144,0.0,0.0,0.002394,0.0
5,0.989897,0.0,0.0,0.000798,0.0
6,1.025442,0.0,0.0,0.003192,0.0
7,0.926556,0.0,0.0,0.001596,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.385906,0.0,0.0,0.005586,0.0
3,1.174126,0.0,0.0,0.000798,0.0
4,1.373144,0.0,0.0,0.004788,0.0
5,1.364897,0.0,0.0,0.002394,0.0
6,1.275442,0.0,0.0,0.004788,0.0
7,1.301556,0.0,0.0,0.00399,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.385906,0.0,0.0,0.005586,0.0
3,1.174126,0.0,0.0,0.000798,0.0
4,1.373144,0.0,0.0,0.004788,0.0
5,1.364897,0.0,0.0,0.002394,0.0
6,1.275442,0.0,0.0,0.004788,0.0
7,1.301556,0.0,0.0,0.00399,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.385906,0.0,0.0,0.005586,0.0
3,1.174126,0.0,0.0,0.000798,0.0
4,1.373144,0.0,0.0,0.004788,0.0
5,1.364897,0.0,0.0,0.002394,0.0
6,1.400442,0.0,0.0,0.005586,0.0
7,1.301556,0.0,0.0,0.00399,0.0
1,0.567034,0.0,0.0,0.0,0.0
2,1.385906,0.0,0.0,0.005586,0.0
3,1.174126,0.0,0.0,0.000798,0.0
4,1.373144,0.0,0.0,0.004788,0.0
5,1.364897,0.0,0.0,0.002394,0.0
6,1.400442,0.0,0.0,0.005586,0.0
7,1.301556,0.0,0.0,0.00399,0.0
1,1.504509,0.0,0.059593,0.937475,0.0
2,1.504829,0.059913,0.0,0.08583,0.0
3,1.504509,0.0,0.002208,0.005387,0.000804
4,1.498144,0.0,0.0,0.005586,0.0
5,1.50462,0.0,0.002208,0.008424,0.001818
6,1.504697,0.050763,0.0,0.073533,0.0
7,1.50462,0.0,0.0,0.004788,0.0
1,1.543307,0.0,0.08608,0.976273,0.0
2,1.543384,0.08608,0.0,0.119162,0.0
3,1.600116,0.0,0.004415,0.010548,0.002152
4,1.60098,0.049421,0.0,0.072091,0.0
5,1.600116,0.0,0.002208,0.008424,0.001818
6,1.55792,0.086078,0.0,0.119162,0.0
7,1.564226,0.0,0.004414,0.018832,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,1.635906,0.08608,0.0,0.11996,0.0
3,1.674126,0.0,0.004415,0.011346,0.002152
4,1.655622,0.086076,0.0,0.119147,0.0
5,1.739897,0.0,0.004415,0.015163,0.003923
6,1.736146,0.086078,0.002208,0.123552,0.000594
7,1.736222,0.08608,0.004414,0.132377,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,1.760906,0.08608,0.0,0.120758,0.0
3,1.799126,0.0,0.004415,0.012144,0.002152
4,1.748144,0.086076,0.0,0.119945,0.0
5,1.864897,0.0,0.004415,0.015961,0.003923
6,1.775442,0.086078,0.002208,0.12435,0.000594
7,1.801556,0.08608,0.004414,0.133175,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,1.885906,0.08608,0.0,0.121556,0.0
3,1.799126,0.0,0.004415,0.012144,0.002152
4,1.905875,0.086076,0.0,0.120743,0.0
5,1.906425,0.00883,0.004415,0.029719,0.003923
6,1.905875,0.086078,0.004416,0.127709,0.000746
7,1.801556,0.08608,0.004414,0.133175,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,1.885906,0.08608,0.0,0.121556,0.0
3,1.924126,0.0,0.004415,0.012942,0.002152
4,2.005665,0.086076,0.004415,0.126765,0.0
5,2.006217,0.075044,0.004415,0.115279,0.003923
6,2.005665,0.086078,0.004416,0.127709,0.000746
7,1.926556,0.08608,0.004414,0.133973,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.130019,0.08608,0.0,0.122354,0.0
3,2.130571,0.035315,0.004415,0.061704,0.002152
4,2.130019,0.086076,0.006622,0.132118,0.001598
5,2.114897,0.08608,0.004415,0.130336,0.003923
6,2.025442,0.086078,0.004416,0.128507,0.000746
7,2.051556,0.08608,0.004414,0.134771,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.206527,0.08608,0.002207,0.128332,0.00214
3,2.206604,0.086076,0.004415,0.127303,0.002152
4,2.206527,0.086076,0.006622,0.132118,0.001598
5,2.114897,0.08608,0.004415,0.130336,0.003923
6,2.150442,0.086078,0.004416,0.129305,0.000746
7,2.176556,0.08608,0.004414,0.135569,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.385906,0.08608,0.002207,0.129928,0.00214
3,2.299126,0.086076,0.004415,0.128101,0.002152
4,2.373144,0.086076,0.006622,0.133714,0.001598
5,2.364897,0.08608,0.004415,0.131932,0.003923
6,2.400442,0.086078,0.004416,0.130901,0.000746
7,2.301556,0.08608,0.004414,0.136367,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.385906,0.08608,0.002207,0.129928,0.00214
3,2.424126,0.086076,0.004415,0.128899,0.002152
4,2.373144,0.086076,0.006622,0.133714,0.001598
5,2.364897,0.08608,0.004415,0.131932,0.003923
6,2.400442,0.086078,0.004416,0.130901,0.000746
7,2.426556,0.08608,0.004414,0.137165,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.510906,0.08608,0.002207,0.130726,0.00214
3,2.424126,0.086076,0.004415,0.128899,0.002152
4,2.498144,0.086076,0.006622,0.134512,0.001598
5,2.489897,0.08608,0.004415,0.13273,0.003923
6,2.525442,0.086078,0.004416,0.131699,0.000746
7,2.426556,0.08608,0.004414,0.137165,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,2.885906,0.08608,0.002207,0.13312,0.00214
3,2.799126,0.086076,0.004415,0.131293,0.002152
4,2.873144,0.086076,0.006622,0.136906,0.001598
5,2.864897,0.08608,0.004415,0.135124,0.003923
6,2.900442,0.086078,0.004416,0.134093,0.000746
7,2.801556,0.08608,0.004414,0.139559,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.010906,0.08608,0.002207,0.133918,0.00214
3,3.049126,0.086076,0.004415,0.132889,0.002152
4,2.998144,0.086076,0.006622,0.137704,0.001598
5,2.989897,0.08608,0.004415,0.135922,0.003923
6,3.025442,0.086078,0.004416,0.134891,0.000746
7,3.051556,0.08608,0.004414,0.141155,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.748144,0.086076,0.006622,0.142492,0.001598
5,3.739897,0.08608,0.004415,0.14071,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.748144,0.086076,0.006622,0.142492,0.001598
5,3.739897,0.08608,0.004415,0.14071,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.748144,0.086076,0.006622,0.142492,0.001598
5,3.739897,0.08608,0.004415,0.14071,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.748144,0.086076,0.006622,0.142492,0.001598
5,3.739897,0.08608,0.004415,0.14071,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.748144,0.086076,0.006622,0.142492,0.001598
5,3.864897,0.08608,0.004415,0.141508,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.873144,0.086076,0.006622,0.14329,0.001598
5,3.864897,0.08608,0.004415,0.141508,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,1.543307,0.0,0.08608,0.976273,0.0
2,3.760906,0.08608,0.002207,0.138706,0.00214
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.873144,0.086076,0.006622,0.14329,0.001598
5,3.864897,0.08608,0.004415,0.141508,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,3.894513,0.009789,0.08608,3.327479,0.0
2,3.894481,0.08608,0.005471,0.145332,0.004156
3,3.799126,0.086076,0.004415,0.137677,0.002152
4,3.873144,0.086076,0.006622,0.14329,0.001598
5,3.864897,0.08608,0.004415,0.141508,0.003923
6,3.775442,0.086078,0.004416,0.139679,0.000746
7,3.801556,0.08608,0.004414,0.145943,0.001009
1,3.902416,0.016314,0.08608,3.335382,0.0
2,3.902416,0.08608,0.005471,0.145332,0.004156
3,3.799126,0.086076,0.004415,0.137677,0.002152
