bin_start,tx_noinfo,rx_noinfo,tx_route,rx_route,total,udp,rpl,forwarding,tx,rx,diff_tx,diff_rx
0,0.0132352,0.000704,0.0202048,0.003696,0.362688,0.043072,0.319616,0.018432,0.288644,0.022938,,
25,0.0727936,0.003871999999999999,0.14945919999999996,0.036784,0.333824,0.201792,0.132032,0.120832,0.765325,0.099737,0.476681,0.076799
50,0.0595584,0.003168,0.12228479999999994,0.030096,0.366272,0.273152,0.09312,0.090112,1.1997200000000001,0.202798,0.4343950000000001,0.103061
75,1.2865214964767582,0.2159015854340572,1.3631870964767572,0.2488135854340571,0.4624,0.440512,0.021888,0.17216,1.668189,0.291796,0.4684689999999998,0.088998
100,0.066176,0.0035199999999999993,0.101024,0.018480000000000003,0.173472,0.173472,,0.069632,1.9123450000000002,0.45608000000000004,0.24415600000000026,0.16428400000000004
125,0.0595584,0.003168,0.13622399999999998,0.03608,0.407904,0.295328,0.112576,0.135168,2.320567,0.540729,0.40822199999999986,0.08464899999999997
150,2.3867429999999974,0.5493650000000002,2.428560599999998,0.5673170000000002,0.152352,0.152352,,0.045184,2.538381,0.720828,0.21781400000000017,0.180099
175,0.0727936,0.003871999999999999,0.13551999999999995,0.030800000000000008,0.20368,0.20368,,0.07168,2.7533529999999997,0.826412,0.2149719999999995,0.10558400000000001
