time,mote_id,node,strobes,message_type,message,tx,rx,size
4.549126,,3,,energy,,0.086076,0.004415,
4.551556,,7,,energy,,0.08608,0.004414,
4.614897,,5,,energy,,0.08608,0.004415,
4.623144,,4,,energy,,0.086076,0.006622,
4.635906,,2,,energy,,0.08608,0.005471,
4.650442,,6,,energy,,0.086078,0.004416,
4.674126,,3,,energy,,0.086076,0.004415,
4.676556,,7,,energy,,0.08608,0.004414,
4.799126,,3,,energy,,0.086076,0.004415,
4.801556,,7,,energy,,0.08608,0.004414,
4.864897,,5,,energy,,0.08608,0.004415,
4.873144,,4,,energy,,0.086076,0.006622,
4.885906,,2,,energy,,0.08608,0.005471,
4.900442,,6,,energy,,0.086078,0.004416,
4.989897,,5,,energy,,0.08608,0.004415,
4.998144,,4,,energy,,0.086076,0.006622,
5.010906,,2,,energy,,0.08608,0.005471,
5.025442,,6,,energy,,0.086078,0.004416,
5.049126,,3,,energy,,0.086076,0.004415,
5.051556,,7,,energy,,0.08608,0.004414,
5.239897,,5,,energy,,0.08608,0.004415,
5.248144,,4,,energy,,0.086076,0.006622,
5.260906,,2,,energy,,0.08608,0.005471,
5.275442,,6,,energy,,0.086078,0.004416,
5.299126,,3,,energy,,0.086076,0.004415,
5.301556,,7,,energy,,0.08608,0.004414,
5.344014,2,1,,parent,,,,
5.345541,2,1,,neighbor,,,,
5.358505,6,0,,parent,,,,
5.364897,,5,,energy,,0.08608,0.004415,
5.373144,,4,,energy,,0.086076,0.006622,
5.385906,,2,,energy,,0.08608,0.005471,
5.400442,,6,,energy,,0.086078,0.004416,
5.424126,,3,,energy,,0.086076,0.004415,
5.426556,,7,,energy,,0.08608,0.004414,
5.456219,4,0,,parent,,,,
5.489897,,5,,energy,,0.08608,0.004415,
5.498144,,4,,energy,,0.086076,0.006622,
5.509532,,2,,energy,,0.08608,0.005471,
5.50963,7,0,,parent,,,,
5.739897,,5,,energy,,0.08608,0.004415,
5.748144,,4,,energy,,0.086076,0.006622,
5.760906,,2,,energy,,0.08608,0.005471,
5.775442,,6,,energy,,0.086078,0.004416,
5.799126,,3,,energy,,0.086076,0.004415,
5.801556,,7,,energy,,0.08608,0.004414,
5.822969,5,0,,parent,,,,
5.885906,,2,,energy,,0.08608,0.005471,
5.900442,,6,,energy,,0.086078,0.004416,
5.924126,,3,,energy,,0.086076,0.004415,
5.926556,,7,,energy,,0.08608,0.004414,
5.989897,,5,,energy,,0.08608,0.004415,
5.998144,,4,,energy,,0.086076,0.006622,
6.0072,3,0,,parent,,,,
6.114897,,5,,energy,,0.08608,0.004415,
6.123144,,4,,energy,,0.086076,0.006622,
6.135906,,2,,energy,,0.08608,0.005471,
6.150442,,6,,energy,,0.086078,0.004416,
6.174126,,3,,energy,,0.086076,0.004415,
6.176556,,7,,energy,,0.08608,0.004414,
6.239498,,5,,energy,,0.08608,0.004415,
6.239681,2,2,,dio,,,,
6.239897,,5,,energy,,0.08608,0.004415,
6.248144,,4,,energy,,0.086076,0.006622,
6.260906,,2,,energy,,0.08608,0.005471,
6.275442,,6,,energy,,0.086078,0.004416,
6.299794,,3,,energy,,0.086076,0.004415,
6.299794,,1,,energy,,0.107666,0.108917,
6.300581,,7,,energy,,0.08608,0.004414,
6.300672,,2,,energy,,0.108917,0.005471,
6.301556,,7,,energy,,0.08608,0.004414,
6.364897,,5,,energy,,0.08608,0.004415,
6.373144,,4,,energy,,0.086076,0.006622,
6.400167,,3,,energy,,0.086076,0.007678,
6.400167,,1,,energy,,0.107666,0.18395,
6.400241,,2,,energy,,0.18395,0.005471,
6.400442,,6,,energy,,0.086078,0.004416,
6.424126,,3,,energy,,0.086076,0.007678,
6.426556,,7,,energy,,0.08608,0.004414,
6.489897,,5,,energy,,0.08608,0.004415,
6.498144,,4,,energy,,0.086076,0.006622,
6.510906,,2,,energy,,0.18395,0.005471,
6.525442,,6,,energy,,0.086078,0.004416,
6.799126,,3,,energy,,0.086076,0.007678,
6.801556,,7,,energy,,0.08608,0.004414,
6.864897,,5,,energy,,0.08608,0.004415,
6.873144,,4,,energy,,0.086076,0.006622,
6.885906,,2,,energy,,0.18395,0.005471,
6.900442,,6,,energy,,0.086078,0.004416,
6.989897,,5,,energy,,0.08608,0.004415,
6.998144,,4,,energy,,0.086076,0.006622,
7.010906,,2,,energy,,0.18395,0.005471,
7.025442,,6,,energy,,0.086078,0.004416,
7.049126,,3,,energy,,0.086076,0.007678,
7.051556,,7,,energy,,0.08608,0.004414,
7.989897,,5,,energy,,0.08608,0.004415,
7.998144,,4,,energy,,0.086076,0.006622,
8.010906,,2,,energy,,0.18395,0.005471,
8.025442,,6,,energy,,0.086078,0.004416,
8.049126,,3,,energy,,0.086076,0.007678,
8.051556,,7,,energy,,0.08608,0.004414,
8.299126,,3,,energy,,0.086076,0.007678,
8.301556,,7,,energy,,0.08608,0.004414,
8.364897,,5,,energy,,0.08608,0.004415,
8.373144,,4,,energy,,0.086076,0.006622,
8.385906,,2,,energy,,0.18395,0.005471,
8.400442,,6,,energy,,0.086078,0.004416,
8.424126,,3,,energy,,0.086076,0.007678,
8.426556,,7,,energy,,0.08608,0.004414,
8.489897,,5,,energy,,0.08608,0.004415,
8.498144,,4,,energy,,0.086076,0.006622,
8.510906,,2,,energy,,0.18395,0.005471,
8.525442,,6,,energy,,0.086078,0.004416,
8.549126,,3,,energy,,0.086076,0.007678,
8.551556,,7,,energy,,0.08608,0.004414,
8.739897,,5,,energy,,0.08608,0.004415,
8.748144,,4,,energy,,0.086076,0.006622,
8.760906,,2,,energy,,0.18395,0.005471,
8.775442,,6,,energy,,0.086078,0.004416,
8.799126,,3,,energy,,0.086076,0.007678,
8.801556,,7,,energy,,0.08608,0.004414,
8.863144,2,2,,dao,,,,
8.864897,,5,,energy,,0.08608,0.004415,
8.873144,,4,,energy,,0.086076,0.006622,
8.891092,,3,,energy,,0.086076,0.007678,
8.8917,,1,,energy,,0.107987,0.186541,
8.892306,,2,,energy,,0.186541,0.005792,
8.900442,,6,,energy,,0.086078,0.004416,
8.900989,2,2,0,mac,,,,53
8.989897,,5,,energy,,0.08608,0.004415,
8.998144,,4,,energy,,0.086076,0.006622,
9.010906,,2,,energy,,0.186541,0.005792,
9.025442,,6,,energy,,0.086078,0.004416,
9.049126,,3,,energy,,0.086076,0.007678,
9.051556,,7,,energy,,0.08608,0.004414,
9.549126,,3,,energy,,0.086076,0.007678,
9.551556,,7,,energy,,0.08608,0.004414,
9.614897,,5,,energy,,0.08608,0.004415,
9.623144,,4,,energy,,0.086076,0.006622,
9.635906,,2,,energy,,0.186541,0.005792,
9.650442,,6,,energy,,0.086078,0.004416,
9.668629,3,3,,dio,,,,
9.674126,,3,,energy,,0.086076,0.007678,
9.676556,,7,,energy,,0.08608,0.004414,
9.739897,,5,,energy,,0.08608,0.004415,
9.756139,,2,,energy,,0.186541,0.005792,
9.756139,,4,,energy,,0.086076,0.009885,
9.75889,,3,,energy,,0.131244,0.007678,
9.775442,,6,,energy,,0.086078,0.004416,
9.79984,,4,,energy,,0.086076,0.009885,
9.79984,,2,,energy,,0.186541,0.009054,
9.800182,,7,,energy,,0.08608,0.004414,
9.800191,,3,,energy,,0.161469,0.007678,
10.239897,,5,,energy,,0.08608,0.004415,
10.248144,,4,,energy,,0.086076,0.009885,
10.260906,,2,,energy,,0.186541,0.009054,
10.275442,,6,,energy,,0.086078,0.004416,
10.299126,,3,,energy,,0.183954,0.007678,
10.301556,,7,,energy,,0.08608,0.004414,
10.344006,2,1,,parent,,,,
10.345533,2,1,,neighbor,,,,
10.34706,2,3,,neighbor,,,,
10.358525,6,0,,parent,,,,
10.364897,,5,,energy,,0.08608,0.004415,
10.373144,,4,,energy,,0.086076,0.009885,
10.385906,,2,,energy,,0.186541,0.009054,
10.400442,,6,,energy,,0.086078,0.004416,
10.424126,,3,,energy,,0.183954,0.007678,
10.426556,,7,,energy,,0.08608,0.004414,
10.45625,4,3,,parent,,,,
10.457777,4,3,,neighbor,,,,
10.489897,,5,,energy,,0.08608,0.004415,
10.498144,,4,,energy,,0.086076,0.009885,
10.509628,7,0,,parent,,,,
