bin_start,total,udp,rpl,forwarding
0.0,0.362688,0.043072,0.319616,0.018432
25.0,0.333824,0.201792,0.132032,0.120832
50.0,0.366272,0.273152,0.09312,0.090112
75.0,0.4624,0.440512,0.021888,0.17216
100.0,0.173472,0.173472,,0.069632
125.0,0.407904,0.295328,0.112576,0.135168
150.0,0.152352,0.152352,,0.045184
175.0,0.20368,0.20368,,0.07168
200.0,0.07088,0.07088,,0.04096
