bin_start,tx_noinfo,rx_noinfo,tx_route,rx_route,total,udp,rpl,forwarding,tx,rx,diff_tx,diff_rx
0,0.525458,0.094088,0.537778,0.09655200000000001,0.365344,0.06032,0.305024,0.049952,0.395433,0.10856800000000001,,
25,1.0904549999999995,0.386732,1.1256549999999994,0.39377200000000023,0.245568,0.145152,0.100416,0.084768,0.6679229999999999,0.324531,0.27248999999999995,0.21596300000000002
50,2.6830254008120167,1.2112139285782484,2.741105400812016,1.2228299285782485,0.357408,0.256992,0.100416,0.213376,1.065321,0.512676,0.39739800000000003,0.188145
75,2.348841,1.2175359999999995,2.4333209999999994,1.2344319999999986,0.20816,0.198432,0.009728,0.170368,1.3157159999999999,0.722805,0.2503949999999999,0.210129
100,4.312731,2.5210539999999995,4.383130999999999,2.535133999999998,0.235328,0.235328,,0.183744,1.600894,0.9763719999999999,0.28517800000000015,0.2535669999999999
125,3.555097,2.132487,3.614937,2.1444549999999976,0.234848,0.132,0.102848,0.111808,1.856414,1.203271,0.25551999999999997,0.22689900000000007
150,5.844156,3.827708999999999,5.919835999999998,3.842844999999995,0.191328,0.191328,,0.133632,2.073012,1.368927,0.21659799999999985,0.16565600000000003
175,4.376444,2.935822999999999,4.438044,2.9481429999999973,0.195104,0.192672,0.002432,0.151648,2.297469,1.5809959999999998,0.22445700000000013,0.21206899999999984
