mote_id,monitored_time,tx_time,rx_time,on_time,int_time
21,29.134449,0.28717,0.21305,0.932298,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.220752,0.287173,0.253557,1.028669,0.11404
3,29.162936,0.245246,0.313696,1.084828,0.138279
4,29.251108,0.385051,0.304809,1.232457,0.108108
5,29.224451,0.287172,0.23576,0.981776,0.119537
6,29.232224,0.385049,0.246842,1.118077,0.123685
7,29.141971,0.385056,0.217619,1.092967,0.121309
8,29.154609,0.385051,0.309547,1.217972,0.113688
9,29.141891,0.294946,0.252785,1.003744,0.11523
10,29.182615,0.287176,0.25766,1.008063,0.109116
11,29.164135,0.260688,0.253312,0.994885,0.149667
12,29.24648,0.385053,0.24098,1.098583,0.106922
13,29.229093,0.385046,0.333335,1.233045,0.122792
14,29.207368,0.287171,0.226707,0.973706,0.125714
15,29.226767,0.28718,0.223583,0.962679,0.112315
16,29.193542,0.28717,0.272191,1.006317,0.109245
17,29.242415,0.287163,0.229966,0.976255,0.12193
18,29.210142,0.287179,0.312755,1.051611,0.10253
19,29.200964,0.385049,0.263306,1.111141,0.097398
20,29.136308,0.385054,0.223339,1.075026,0.089223
21,29.25945,0.28717,0.21305,0.933096,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.220752,0.287173,0.253557,1.028669,0.11404
3,29.162936,0.245246,0.313696,1.084828,0.138279
4,29.251108,0.385051,0.304809,1.232457,0.108108
5,29.224451,0.287172,0.23576,0.981776,0.119537
6,29.232224,0.385049,0.246842,1.118077,0.123685
7,29.266971,0.385056,0.217619,1.093765,0.121309
8,29.154609,0.385051,0.309547,1.217972,0.113688
9,29.26689,0.294946,0.252785,1.004542,0.11523
10,29.182615,0.287176,0.25766,1.008063,0.109116
11,29.164135,0.260688,0.253312,0.994885,0.149667
12,29.24648,0.385053,0.24098,1.098583,0.106922
13,29.229093,0.385046,0.333335,1.233045,0.122792
14,29.207368,0.287171,0.226707,0.973706,0.125714
15,29.226767,0.28718,0.223583,0.962679,0.112315
16,29.193542,0.28717,0.272191,1.006317,0.109245
17,29.242415,0.287163,0.229966,0.976255,0.12193
18,29.210142,0.287179,0.312755,1.051611,0.10253
19,29.200964,0.385049,0.263306,1.111141,0.097398
20,29.261308,0.385054,0.223339,1.075823,0.089223
21,29.25945,0.28717,0.21305,0.933096,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.470752,0.287173,0.253557,1.030264,0.11404
3,29.412935,0.245246,0.313696,1.086424,0.138279
4,29.501108,0.385051,0.304809,1.234054,0.108108
5,29.474451,0.287172,0.23576,0.983373,0.119537
6,29.482223,0.385049,0.246842,1.119671,0.123685
7,29.391971,0.385056,0.217619,1.094562,0.121309
8,29.404609,0.385051,0.309547,1.219567,0.113688
9,29.391891,0.294946,0.252785,1.005341,0.11523
10,29.432615,0.287176,0.25766,1.009658,0.109116
11,29.414135,0.260688,0.253312,0.99648,0.149667
12,29.49648,0.385053,0.24098,1.100178,0.106922
