bin_time,mote_id,tx_time,rx_time,on_time,int_time
70,6,1.13734,0.184718,2.710112,0.114776
70,7,1.133406,0.317509,2.983881,0.189406
70,8,0.578099,2.230158,79.315401,0.00206
70,9,1.510942,0.324161,3.569992,0.147082
80,1,1.518418,1.169503,6.092192,0.471641
80,10,1.36573,0.207363,3.161177,0.087723
80,11,0.780903,0.147995,2.23396,0.111014
80,12,0.912912,0.394216,2.71546,0.175423
80,13,0.835078,0.096035,2.034721,0.053316
80,14,0.946777,0.116054,2.23605,0.041859
80,15,0.800984,0.107275,2.283675,0.126807
80,2,0.922474,0.491042,3.5066,0.249319
80,3,1.572108,0.347964,3.876368,0.170574
80,4,2.578473,0.745975,6.551562,0.41663
80,5,1.570045,0.348126,3.863495,0.240217
80,6,1.233977,0.204853,3.016725,0.138658
80,7,1.277905,0.348794,3.366168,0.205976
80,8,0.604342,2.438513,89.395404,0.00206
80,9,1.668963,0.356336,3.980391,0.166172
90,1,1.670435,1.324558,6.824504,0.529482
90,10,1.473913,0.223702,3.455266,0.095332
90,11,0.836238,0.16095,2.453976,0.124449
90,12,0.963576,0.432267,2.939302,0.191801
90,13,0.888484,0.097953,2.203604,0.055071
90,14,0.991911,0.117969,2.389769,0.041859
90,15,0.853573,0.114168,2.502921,0.142262
90,2,0.979613,0.549058,3.840448,0.273432
90,3,1.718747,0.383214,4.271759,0.184073
90,4,2.882327,0.8322,7.333882,0.465099
90,5,1.70076,0.382787,4.249922,0.271331
90,6,1.326955,0.22227,3.30261,0.1582
90,7,1.387198,0.380926,3.686716,0.220916
90,8,0.630574,2.647669,99.040038,0.00206
90,9,1.819454,0.387569,4.384933,0.183754
100,1,1.92064,1.473044,7.692434,0.59778
100,10,1.597341,0.24777,3.792437,0.106534
100,11,0.891601,0.172033,2.67042,0.136157
100,12,1.036899,0.477874,3.210591,0.210108
100,13,1.034918,0.100069,2.491514,0.056814
100,14,1.035129,0.128305,2.560054,0.045805
100,15,1.0,0.121859,2.84312,0.160333
100,2,1.041825,0.611908,4.212644,0.306901
100,3,1.886745,0.422671,4.727042,0.206359
100,4,3.162159,0.927771,8.097692,0.511999
100,5,1.877473,0.423944,4.708578,0.294854
100,6,1.420804,0.239626,3.590383,0.178483
100,7,1.498421,0.42364,4.03961,0.242855
100,8,0.763203,2.963388,109.372077,0.002378
100,9,1.971989,0.424658,4.801774,0.200156
110,1,2.061873,1.630819,8.425838,0.669723
110,10,1.810533,0.271037,4.227551,0.114936
110,11,0.946911,0.20661,2.913909,0.147758
110,12,1.094488,0.515813,3.44636,0.226836
110,13,1.086435,0.106187,2.666366,0.061532
110,14,1.175784,0.135101,2.83754,0.046957
110,15,1.061897,0.135093,3.093911,0.183629
110,2,1.102787,0.682406,4.574102,0.334498
110,3,2.145798,0.474581,5.311901,0.228625
110,4,3.531008,1.01216,8.949632,0.559072
110,5,2.021698,0.467921,5.121991,0.327114
110,6,1.643139,0.263145,4.040362,0.185182
110,7,1.591388,0.470019,4.363822,0.268805
110,8,0.788157,3.163462,119.080558,0.002378
110,9,2.130251,0.473978,5.236328,0.217857
120,1,2.229064,1.80297,9.229231,0.719919
120,10,1.919721,0.294551,4.538849,0.126652
120,11,0.990142,0.220271,3.120193,0.161003
120,12,1.252535,0.561304,3.821181,0.241295
120,13,1.159029,0.117046,2.889484,0.06876
120,14,1.231323,0.140615,3.020425,0.049286
120,15,1.113399,0.139619,3.303362,0.195226
120,2,1.26196,0.758781,5.074426,0.373465
120,3,2.297746,0.509104,5.725326,0.244358
120,4,3.844162,1.131924,9.844552,0.629297
120,5,2.286592,0.518134,5.711612,0.353034
120,6,1.736964,0.285453,4.319704,0.190577
120,7,1.711029,0.521513,4.748596,0.29278
120,8,0.815989,3.483347,129.315854,0.00661
120,9,2.398585,0.513427,5.804349,0.24016
130,1,2.371785,1.961168,9.960107,0.772431
130,10,2.029902,0.310791,4.837396,0.135265
130,11,1.15009,0.229163,3.470886,0.175115
130,12,1.303197,0.607864,4.058754,0.257767
130,13,1.212455,0.123289,3.068839,0.073339
130,14,1.276456,0.142538,3.175892,0.049286
130,15,1.164888,0.141539,3.519379,0.213528
130,2,1.322012,0.819246,5.443556,0.409643
130,3,2.466584,0.550761,6.168543,0.259755
130,4,4.127855,1.226446,10.62224,0.678421
130,5,2.433365,0.55509,6.126782,0.382612
130,6,1.833861,0.315889,4.638396,0.214845
130,7,1.907484,0.555933,5.18319,0.305385
130,8,0.841261,3.68612,139.354634,0.00661
130,9,2.542235,0.550324,6.199897,0.25393
140,1,2.53484,2.11858,10.697903,0.831349
140,10,2.138386,0.331989,5.139626,0.140345
140,11,1.194961,0.244973,3.676735,0.187666
140,12,1.370413,0.647403,4.310947,0.273066
140,13,1.263935,0.125375,3.237892,0.074685
140,14,1.321321,0.14446,3.330542,0.049286
140,15,1.21748,0.148428,3.738827,0.230121
140,2,1.385843,0.872902,5.789548,0.433651
140,3,2.59994,0.586775,6.546992,0.273923
140,4,4.420026,1.315824,11.393751,0.721612
140,5,2.564798,0.594335,6.517786,0.412972
140,6,1.934346,0.335199,4.923637,0.221316
140,7,2.009365,0.591956,5.50702,0.325679
140,8,0.868452,3.908272,149.31899,0.010893
140,9,2.687252,0.583621,6.58899,0.266009
150,1,2.684293,2.261589,11.42115,0.890089
150,10,2.239616,0.34966,5.427803,0.150307
150,11,1.250317,0.261507,3.897698,0.199945
150,12,1.421059,0.686468,4.544548,0.294203
150,13,1.315437,0.127297,3.406449,0.077556
150,14,1.366465,0.146378,3.487855,0.049286
150,15,1.268976,0.155349,3.94715,0.239191
150,2,1.445493,0.930977,6.137548,0.45963
150,3,2.739156,0.624154,6.931815,0.285799
150,4,4.696186,1.398927,12.125298,0.759378
150,5,2.7114,0.629214,6.914143,0.430747
150,6,2.029796,0.352636,5.211867,0.240581
