dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.825603
,,,0.03584,32.0,35.0,10.916934
,0.0768,,,,,12.322078
,,,0.00512,32.0,5.0,12.917528
0.006784,,,,,,13.718161
,,,0.006784,53.0,4.0,13.91829
0.006784,,,,,,13.91829
,,,0.00512,32.0,5.0,14.918361
,,,0.00512,32.0,5.0,17.044084
,,,0.004096,32.0,4.0,18.917161
,0.0768,,,,,20.891531
,,,0.00512,32.0,5.0,21.292893
,,,0.004096,32.0,4.0,22.915972
0.006784,,,,,,24.249387
,,,0.00848,53.0,5.0,24.54506
0.006784,,,,,,24.54506
,,,0.004096,32.0,4.0,24.917498
,,,0.00512,32.0,5.0,26.91826
,,,0.00512,32.0,5.0,29.418992
,,,0.004096,32.0,4.0,31.167109
,,,0.00512,32.0,5.0,32.917833
,,,0.004096,32.0,4.0,35.41591
0.006784,,,,,,36.585335
,,,0.006784,53.0,4.0,36.791673
0.006784,,,,,,36.791673
,,,0.00512,32.0,5.0,36.916735
,0.0768,,,,,36.968151
,,,0.00512,32.0,5.0,38.917466
,,,0.00512,32.0,5.0,41.5432
,,,0.00512,32.0,5.0,43.418932
,,,0.004096,32.0,4.0,45.29204
,,,0.00512,32.0,5.0,47.417771
,,,0.002048,32.0,2.0,58.042832
,,,0.001024,32.0,1.0,58.090745
,,,0.006144,32.0,6.0,58.921221
,,,0.004096,32.0,4.0,61.294297
,,,0.004096,32.0,4.0,62.917387
,,,0.00512,32.0,5.0,64.918108
0.006784,,,,,,65.155631
,,,0.006784,53.0,4.0,65.418871
0.006784,,,,,,65.418871
,,,0.00512,32.0,5.0,66.918931
,,,0.004096,32.0,4.0,68.917109
,0.0768,,,,,69.586805
,,,0.00512,32.0,5.0,71.542833
,,,0.004096,32.0,4.0,72.91591
,,,0.006144,32.0,6.0,74.919333
,,,0.004096,32.0,4.0,76.917406
,,,0.00512,32.0,5.0,78.918137
,,,0.00512,32.0,5.0,81.04387
,,,0.004096,32.0,4.0,82.916948
,,,0.00512,32.0,5.0,84.91768
,,,0.014336,32.0,14.0,96.543429
,,,0.00512,32.0,5.0,97.669023
,,,0.004096,32.0,4.0,98.167131
,,,0.00512,32.0,5.0,99.417894
,,,0.004096,32.0,4.0,101.540972
,,,0.00928,58.0,5.0,102.54586
,,,0.004096,32.0,4.0,102.918107
,,,0.00512,32.0,5.0,104.918839
,,,0.004096,32.0,4.0,106.916947
,,,0.00512,32.0,5.0,108.917667
,0.0768,,,,,116.837084
,,,0.031744,32.0,31.0,121.417605
,,,0.001024,32.0,1.0,121.46544
,,,0.00512,32.0,5.0,122.168198
,,,0.00512,32.0,5.0,123.043932
,,,0.004096,32.0,4.0,124.917039
,,,0.00512,32.0,5.0,127.417771
,,,0.031744,32.0,31.0,139.792606
,,,0.00512,32.0,5.0,140.418198
0.006784,,,,,,140.593182
,,,0.00512,32.0,5.0,140.918931
,,,0.006784,53.0,4.0,141.419725
0.006784,,,,,,141.419725
,,,0.001024,32.0,1.0,141.470587
,,,0.004096,32.0,4.0,143.292163
,,,0.00512,32.0,5.0,144.917894
,,,0.004096,32.0,4.0,146.915972
,,,0.00512,32.0,5.0,148.916704
,,,0.00512,32.0,5.0,151.417436
,,,0.00512,32.0,5.0,152.918168
,,,0.00512,32.0,5.0,154.918914
,,,0.004096,32.0,4.0,156.916979
,,,0.00512,32.0,5.0,158.91771
0.006784,,,,,,161.458734
,,,0.006784,53.0,4.0,163.918473
0.006784,,,,,,163.918473
,,,0.001024,32.0,1.0,163.969193
0.006784,,,,,,167.061932
,,,0.006784,53.0,4.0,173.043566
0.006784,,,,,,173.043566
,,,0.001024,32.0,1.0,173.094316
,,,0.001024,32.0,1.0,173.141282
,,,0.004096,32.0,4.0,173.790971
,,,0.00512,32.0,5.0,174.916704
,,,0.00512,32.0,5.0,176.917436
,,,0.00512,32.0,5.0,178.918168
,,,0.00512,32.0,5.0,181.043917
0.006784,,,,,,182.070549
,,,0.006784,53.0,4.0,182.169694
0.006784,,,,,,182.169694
,,,0.004096,32.0,4.0,182.917131
,,,0.00512,32.0,5.0,184.917863
,,,0.004096,32.0,4.0,186.91594
0.006784,,,,,,187.390026
,,,0.00848,53.0,5.0,187.92003
0.006784,,,,,,187.92003
,,,0.004096,32.0,4.0,188.917436
,,,0.00512,32.0,5.0,191.043168
,,,0.00512,32.0,5.0,192.918917
,,,0.004096,32.0,4.0,195.416978
,,,0.00512,32.0,5.0,197.29271
