bin_start,dao_tx,dio_tx,dis_tx,mac_tx,ratio_dao,ratio_dis,ratio_dio
0.0,0.03392,0.1536,0.058656,0.047647999999999996,0.7118871725990598,1.231027535258563,3.223640026863667
25.0,0.03392,0.0768,,0.13244799999999998,0.2561005073689297,,0.5798502053636144
50.0,0.040704,0.0768,,0.15308800000000003,0.265886287625418,,0.5016722408026755
75.0,,,,0.100928,,,
100.0,0.03392,0.0768,,0.139168,0.24373419176822259,,0.5518510002299379
125.0,,,,0.093632,,,
150.0,0.013568,,,0.149024,0.09104573759931286,,
175.0,,,,0.105024,,,
