time,rx_noinfo,rx_route,tx_noinfo,tx_route,last_recalibration_time,estimation_tx_route,estimation_tx_noinfo,estimation_rx_route,estimation_rx_noinfo,new_estimation_tx_route,new_estimation_tx_noinfo,new_estimation_rx_route,new_estimation_rx_noinfo,time_since_last_recalibration,last_coef_tx,last_coef_rx,epsilon_tx_route,epsilon_tx_noinfo,epsilon_rx_route,epsilon_rx_noinfo,delta_T,tx,rx,ratio route tx,ratio route rx,ratio route recalibration tx,ratio route recalibration rx,new ratio route recalibration tx,new ratio route recalibration rx,error_tx_route,error_rx_route,error_tx_noinfo,error_rx_noinfo
33.437196,0.0,0.000352,0.0,0.00176,0.0,0.00044,0.0,8.8e-05,0.0,,,,,33.437196,0.0,0.0,0.0,0.0,0.0,0.0,,0.467587,0.016434999999999998,0.003764005415035063,0.02141770611499848,0.0009410013537587658,0.00535442652874962,,,0.9990589986462413,0.9946455734712503,1.0,1.0
33.437196,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0021823999999999997,0.0,0.0008359999999999999,0.0,,,,,33.437196,0.0,0.0,0.0,0.0,0.0,0.0,,0.467587,0.016434999999999998,0.018669466858573912,0.20346820809248556,0.004667366714643478,0.05086705202312139,,,0.9953326332853566,0.9491329479768786,1.0,1.0
33.437196,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0038367999999999996,0.0016543999999999999,0.0009239999999999999,8.8e-05,,,,,33.437196,0.0,0.0,0.0,0.0,0.0,0.0,,0.467587,0.016434999999999998,0.03282212721910575,0.22488591420748402,0.008205531804776437,0.056221478551871006,,,0.9917944681952237,0.943778521448129,0.9964618349098671,0.9946455734712503
35.051985,0.0,0.000352,0.0,0.00176,0.0,0.0042768,0.0016543999999999999,0.0010119999999999999,8.8e-05,,,,,35.051985,0.0,0.0,0.0,0.0,0.0,0.0,,0.475261,0.016755000000000003,0.0359953793810138,0.2415995225305878,0.00899884484525345,0.06039988063264695,,,0.9910011551547465,0.9396001193673531,0.9965189653685028,0.9947478364667263
35.051985,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0060192,0.0016543999999999999,0.0017599999999999998,8.8e-05,,,,,35.051985,0.0,0.0,0.0,0.0,0.0,0.0,,0.475261,0.016755000000000003,0.05066016357327868,0.42017308266189185,0.01266504089331967,0.10504327066547296,,,0.9873349591066803,0.8949567293345271,0.9965189653685028,0.9947478364667263
35.051985,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.007673599999999999,0.0033087999999999998,0.0018479999999999998,0.000176,,,,,35.051985,0.0,0.0,0.0,0.0,0.0,0.0,,0.475261,0.016755000000000003,0.06458430209926755,0.44118173679498646,0.016146075524816887,0.11029543419874661,,,0.983853924475183,0.8897045658012535,0.9930379307370055,0.9894956729334528
37.15664,0.0,0.000352,0.0,0.00176,0.0,0.008113599999999999,0.0033087999999999998,0.0019359999999999998,0.000176,,,,,37.15664,0.0,0.0,0.0,0.0,0.0,0.0,,0.5827319999999999,0.017075,0.05569352635516841,0.45352855051244506,0.013923381588792102,0.11338213762811127,,,0.9860766184112078,0.8866178623718887,0.9943219181373255,0.989692532942899
37.15664,0.0,0.002992,0.0,0.006969599999999999,0.0,0.009855999999999998,0.0033087999999999998,0.0026839999999999998,0.000176,,,,,37.15664,0.0,0.0,0.0,0.0,0.0,0.0,,0.5827319999999999,0.017075,0.06765374134250393,0.6287554904831625,0.016913435335625983,0.15718887262079062,,,0.983086564664374,0.8428111273792094,0.9943219181373255,0.989692532942899
37.15664,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.011510399999999999,0.004963199999999999,0.0027719999999999997,0.000264,,,,,37.15664,0.0,0.0,0.0,0.0,0.0,0.0,,0.5827319999999999,0.017075,0.07900990506785281,0.6493704245973645,0.019752476266963203,0.16234260614934112,,,0.9802475237330367,0.8376573938506588,0.9914828772059885,0.9845387994143484
39.417469,0.0,0.000352,0.0,0.00176,0.0,0.011950399999999998,0.004963199999999999,0.0028599999999999997,0.000264,,,,,39.417469,0.0,0.0,0.0,0.0,0.0,0.0,,0.592328,0.017394999999999997,0.0807012331005794,0.6576602471974705,0.02017530827514485,0.16441506179936763,,,0.9798246917248551,0.8355849382006324,0.9916208587134157,0.9848232250646737
39.417469,0.0,0.002992,0.0,0.006969599999999999,0.0,0.013692799999999998,0.004963199999999999,0.0036079999999999997,0.000264,,,,,39.417469,0.0,0.0,0.0,0.0,0.0,0.0,,0.592328,0.017394999999999997,0.09246768682216609,0.8296636964645013,0.023116921705541523,0.20741592411612533,,,0.9768830782944585,0.7925840758838746,0.9916208587134157,0.9848232250646737
39.417469,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.015347199999999998,0.0066175999999999995,0.0036959999999999996,0.000352,,,,,39.417469,0.0,0.0,0.0,0.0,0.0,0.0,,0.592328,0.017394999999999997,0.10363987520427871,0.8498993963782696,0.025909968801069678,0.2124748490945674,,,0.9740900311989303,0.7875251509054326,0.9888278116178874,0.9797643000862316
41.241039,0.0,0.000352,0.0,0.00176,0.0,0.015787199999999998,0.0066175999999999995,0.0037839999999999996,0.000352,,,,,41.241039,0.0,0.0,0.0,0.0,0.0,0.0,,0.6019220000000001,0.017715,0.10491193211080503,0.8544171605983628,0.026227983027701258,0.2136042901495907,,,0.9737720169722988,0.7863957098504093,0.9890058844833716,0.9801298334744566
41.241039,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0175296,0.0066175999999999995,0.004532,0.000352,,,,,41.241039,0.0,0.0,0.0,0.0,0.0,0.0,,0.6019220000000001,0.017715,0.11649084100597751,1.023313576065481,0.029122710251494377,0.25582839401637025,,,0.9708772897485055,0.7441716059836297,0.9890058844833716,0.9801298334744566
41.241039,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.019184,0.008272,0.00462,0.00043999999999999996,,,,,41.241039,0.0,0.0,0.0,0.0,0.0,0.0,,0.6019220000000001,0.017715,0.1274849565226059,1.0431837425910244,0.03187123913065148,0.2607959356477561,,,0.9681287608693485,0.739204064352244,0.9862573556042146,0.9751622918430709
42.60587,0.0,0.000352,0.0,0.00176,0.0,0.019624,0.008272,0.004708,0.00043999999999999996,,,,,42.60587,0.0,0.0,0.0,0.0,0.0,0.0,,0.6096,0.018035,0.12876640419947505,1.044191849182146,0.03219160104986876,0.2610479622955365,,,0.9678083989501313,0.7389520377044635,0.9864304461942258,0.9756029941779872
42.60587,0.0,0.002992,0.0,0.006969599999999999,0.0,0.0213664,0.008272,0.005456000000000001,0.00043999999999999996,,,,,42.60587,0.0,0.0,0.0,0.0,0.0,0.0,,0.6096,0.018035,0.1401994750656168,1.2100914887718328,0.0350498687664042,0.3025228721929582,,,0.9649501312335957,0.6974771278070419,0.9864304461942258,0.9756029941779872
42.60587,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,0.0,0.0230208,0.0099264,0.005544000000000001,0.0005279999999999999,,,,,42.60587,0.0,0.0,0.0,0.0,0.0,0.0,,0.6096,0.018035,0.15105511811023623,1.229609093429443,0.037763779527559056,0.30740227335736076,,,0.9622362204724411,0.6925977266426393,0.9837165354330709,0.9707235930135847
