bin_start,dao_tx,dio_tx,dis_tx,mac_tx,ratio_dao,ratio_dis,ratio_dio
0.0,0.040704,0.1536,0.058656,0.100992,0.40304182509505704,0.5807984790874525,1.520912547528517
25.0,0.020352000000000002,0.0768,,0.096864,0.21010901883052527,,0.792864222001982
50.0,0.020352000000000002,0.0768,,0.124128,0.16395978344934262,,0.6187161639597833
75.0,,,,0.077696,,,
100.0,,,,0.11808,,,
125.0,,0.0768,,0.06870399999999999,,,1.1178388448998604
150.0,0.040704,0.1536,,0.14662399999999998,0.2776080314273243,,1.0475774770842428
175.0,0.040704,0.1536,,0.13456,0.30249702734839473,,1.1414982164090366
