time,rx_noinfo,rx_route,tx_noinfo,tx_route,last_recalibration_time,estimation_tx_route,estimation_tx_noinfo,estimation_rx_route,estimation_rx_noinfo,new_estimation_tx_route,new_estimation_tx_noinfo,new_estimation_rx_route,new_estimation_rx_noinfo
48.730424,0.0,0.000352,0.0,0.00176,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
48.730424,0.0,0.002992,0.0,0.006969599999999999,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
48.730424,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.281146,0.0,0.000352,0.0,0.00176,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.281146,0.0,0.002992,0.0,0.006969599999999999,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.281146,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.47499,0.0,0.000352,0.0,0.00176,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.47499,0.0,0.002992,0.0,0.006969599999999999,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
50.47499,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,40.968248,0.5164551955659472,0.5164551955659472,0.013915,0.013915,0.5164551955659472,0.5164551955659472,0.013915,0.013915
53.27704,0.0,0.000352,0.0,0.00176,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
53.27704,0.0,0.002992,0.0,0.006969599999999999,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
53.27704,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
55.070206,0.0,0.000352,0.0,0.00176,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
55.070206,0.0,0.002992,0.0,0.006969599999999999,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
55.070206,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
57.279582,0.0,0.000352,0.0,0.00176,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
57.279582,0.0,0.002992,0.0,0.006969599999999999,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
57.279582,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
58.953034,0.0,0.000352,0.0,0.00176,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
58.953034,0.0,0.002992,0.0,0.006969599999999999,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
58.953034,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,50.972759,0.560865,0.560865,0.015828000000000002,0.015828000000000002,0.560865,0.560865,0.015828000000000002,0.015828000000000002
70.461489,0.0,0.000352,0.0,0.00176,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
70.461489,0.0,0.002992,0.0,0.006969599999999999,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
70.461489,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
70.951358,0.0,0.000352,0.0,0.00176,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
70.951358,0.0,0.002992,0.0,0.006969599999999999,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
70.951358,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,60.972747,0.7475970000000001,0.7475970000000001,0.021651,0.021651,0.7475970000000001,0.7475970000000001,0.021651,0.021651
72.034024,0.0,0.000352,0.0,0.00176,70.972772,0.940917,0.940917,0.023283,0.023283,0.940917,0.940917,0.023283,0.023283
72.034024,0.0,0.002992,0.0,0.006969599999999999,70.972772,0.940917,0.940917,0.023283,0.023283,0.940917,0.940917,0.023283,0.023283
72.034024,0.000352,0.000352,0.0066175999999999995,0.0066175999999999995,70.972772,0.940917,0.940917,0.023283,0.023283,0.940917,0.940917,0.023283,0.023283
